vault_name,protocol,category,underlying_assets,strategy_summary,tvl_usd,base_apy,reward_apy,net_apy_7d,net_apy_30d,risk_flags,audits,withdrawal_terms,vault_address,source_url,underlying_asset_class,risk_score,risk_tier,protocol_url
Steakhouse Prime USDC,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,456224462,4.46,0,4.37,4.29,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0xBEEFE94c8aD530842bfE7d8B397938fFc1cb83b2,https://defillama.com/yields/pool/7820bd3c-461a-4811-9f0b-1d39c1503c3f,stable,1,Bajo,https://app.morpho.org/base/vault/0xBEEFE94c8aD530842bfE7d8B397938fFc1cb83b2
Gauntlet USDC Prime,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,369297750,4.46,0,4.37,4.29,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61,https://defillama.com/yields/pool/e0672197-9f3e-4414-bca5-e6b4c90aa469,stable,1,Bajo,https://app.morpho.org/base/vault/0xeE8F4eC5672F09119b96Ab6fB59C27E1b7e44b61
Steakhouse USDC,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,301688163,3.32,0.25,3.51,3.82,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0xbeeF010f9cb27031ad51e3333f9aF9C6B1228183,https://defillama.com/yields/pool/81ae8812-f04f-4f6e-9d71-ee5778f3a178,stable,1,Bajo,https://app.morpho.org/base/vault/0xbeeF010f9cb27031ad51e3333f9aF9C6B1228183
Spark USDS Savings (sUSDS),Spark (Sky),other,USDS,ERC-4626 wrapper of USDS earning Sky Savings Rate,222527051,3.6,n/a,3.64,3.65,depeg_risk,ChainSecurity; Spearbit,instant,0x5875eEE11Cf8398102FdAd704C9E96607675467a,https://defillama.com/yields/pool/aa2d08c0-0abd-4dcf-be93-ff8ca89d01cd,stable,0,Bajo,https://app.spark.fi/
Aave v3 Base aBascbBTC,Aave v3,lending,cbBTC,Supply cbBTC to Aave v3 Base pool,144264972,0.03,n/a,0.03,0.02,"depeg_risk,liquidation_risk",OpenZeppelin; Trail of Bits; SigmaPrime; Certora; PeckShield; ABDK,instant (subject to liquidity),0xBdb9300b7CDE636d9cD4AFF00f6F009fFBBc8EE6,https://defillama.com/yields/pool/89bc7c4c-d71c-435c-ab28-56c803d51320,btc,2,Bajo,https://app.aave.com/
Gauntlet USD Alpha (gtUSDa),Gauntlet (Aera),yield_aggregator,USDC,Aera-managed cross-chain stablecoin yield,67008224,4.28,n/a,4.3,4.49,"depeg_risk,centralized_dependency,withdraw_queue",Aera framework reviews (no vault-specific firm found),epoch (Provisioner deposit/redeem requests),0x000000000001CdB57E58Fa75Fe420a0f4D6640D5,https://defillama.com/yields/pool/c043062f-fcd6-47aa-b063-70691dc25c1c,stable,3,Medio,https://app.aera.finance/vaults/base:0x000000000001CdB57E58Fa75Fe420a0f4D6640D5
ether.fi Wrapped eETH (weETH),ether.fi,restaking,ETH,Liquid restaking token; ETH staking + EigenLayer restaking,65529853,3.09,0.07,2.8,2.68,centralized_dependency,Zellic; Nethermind; Certik,instant (subject to liquidity); native unstake ~3-10d,0x04C0599Ae5A44757c0af6F9eC3b93da8976c150A,https://defillama.com/yields/pool/333f3e8b-6fe3-4ba0-9657-265ae94b7496,eth,2,Bajo,https://www.ether.fi/
Aave v3 Base aBasweETH,Aave v3,lending,weETH,Supply weETH to Aave v3 Base pool,54951961,0.0,n/a,0.0,0.0,"depeg_risk,liquidation_risk",OpenZeppelin; Trail of Bits; SigmaPrime; Certora; PeckShield; ABDK,instant (subject to liquidity),0x7C307e128efA31F540F2E2d976C995E0B65F51F6,https://defillama.com/yields/pool/f0131970-afac-4835-b22c-520f192e01d5,eth,3,Medio,https://app.aave.com/
Origin Super OETH (superOETHb),Origin Protocol,restaking,ETH,ETH yield via wOETH + Aerodrome AMO concentrated liquidity,41425543,n/a,n/a,2.31,2.19,centralized_dependency,OpenZeppelin; Trail of Bits; Narya,instant (subject to liquidity); native ~up to 10d,0xDBFeFD2e8460a6Ee4955A68582F85708BAEA60A3,https://defillama.com/yields/pool/f388573e-5c0f-4dac-9f70-116a4aabaf17,eth,2,Bajo,https://www.originprotocol.com/
Pangolins USDC,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,36228505,4.45,0,4.36,4.28,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0x1401d1271C47648AC70cBcdfA3776D4A87CE006B,https://defillama.com/yields/pool/c1949c46-0c01-445f-8017-b3192d9913bc,stable,2,Bajo,https://app.morpho.org/base/vault/0x1401d1271C47648AC70cBcdfA3776D4A87CE006B
Aave v3 Base aBaswstETH,Aave v3,lending,wstETH,Supply wstETH to Aave v3 Base pool,34568073,1.51,n/a,1.6,1.45,"depeg_risk,liquidation_risk",OpenZeppelin; Trail of Bits; SigmaPrime; Certora; PeckShield; ABDK,instant (subject to liquidity),0x99CBC45ea5bb7eF3a5BC08FB1B7E56bB2442Ef0D,https://defillama.com/yields/pool/23405eee-97e7-4b8e-8625-19c3a36047e8,eth,3,Medio,https://app.aave.com/
Aave v3 Base aBasWETH,Aave v3,lending,WETH,Supply WETH to Aave v3 Base pool,34127746,0.0,n/a,0.0,0.0,liquidation_risk,OpenZeppelin; Trail of Bits; SigmaPrime; Certora; PeckShield; ABDK,instant (subject to liquidity),0xD4a0e0b9149BCee3C920d2E00b5dE09138fd8bb7,https://defillama.com/yields/pool/361f0a3c-6adb-4b1c-bf35-f9cd79f2341c,eth,2,Bajo,https://app.aave.com/
Aave v3 Base aBasUSDC,Aave v3,lending,USDC,Supply USDC to Aave v3 Base pool,30410759,3.11,n/a,3.11,3.21,"depeg_risk,liquidation_risk",OpenZeppelin; Trail of Bits; SigmaPrime; Certora; PeckShield; ABDK,instant (subject to liquidity),0x4e65fE4DbA92790696d040ac24Aa414708F5c0AB,https://defillama.com/yields/pool/7e0661bf-8cf3-45e6-9424-31916d4c7b84,stable,2,Bajo,https://app.aave.com/
Aave v3 Base aBascbETH,Aave v3,lending,cbETH,Supply cbETH to Aave v3 Base pool,28735866,0.0,n/a,0.01,0.04,"depeg_risk,liquidation_risk",OpenZeppelin; Trail of Bits; SigmaPrime; Certora; PeckShield; ABDK,instant (subject to liquidity),0xcf3D55c10DB69f28fD1A75Bd73f3D8A2d9c595ad,https://defillama.com/yields/pool/54470a44-22f4-4508-bbbb-2d8e2770ab77,eth,3,Medio,https://app.aave.com/
Froge's USDC,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,23832023,4.45,0,4.36,4.28,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0x2C6D169782bF18Cc634D076Fe639092227B82fdA,https://defillama.com/yields/pool/5a0433ec-041d-40e0-aeef-d52e5c2b5f51,stable,2,Bajo,https://app.morpho.org/base/vault/0x2C6D169782bF18Cc634D076Fe639092227B82fdA
Aave v3 Base aBassyrupUSDC,Aave v3,lending,syrupUSDC,Supply syrupUSDC to Aave v3 Base pool,18917051,0,n/a,0,0,"depeg_risk,liquidation_risk",OpenZeppelin; Trail of Bits; SigmaPrime; Certora; PeckShield; ABDK,instant (subject to liquidity),0xD7424238CcbE7b7198Ab3cFE232e0271E22da7bd,https://defillama.com/yields/pool/974b8732-2dce-4a46-8204-7f9e6b7efb71,stable,2,Bajo,https://app.aave.com/
YO USD (yoUSD),YO Protocol,yield_aggregator,USDC,ERC-4626 multi-protocol USD yield optimizer,15075955,4.22,n/a,4.14,4.02,"depeg_risk,centralized_dependency,withdraw_queue",Hunter Security; Offbeat; Spearbit,instant (subject to liquidity); else async <=24h,0x0000000f2eb9f69274678c76222b35eec7588a65,https://defillama.com/yields/pool/1994cc35-a2b9-434e-b197-df6742fb5d81,stable,3,Medio,https://yo.xyz/
Moonwell MORPHO,Moonwell,lending,MORPHO,Supply MORPHO to Moonwell (Compound v2 fork),12329708,0.02,0.11,0.09,0.14,liquidation_risk,Halborn; Code4rena,instant (subject to liquidity),0x6308204872bdb7432df97b04b42443c714904f3e,https://defillama.com/yields/pool/4af140f4-7467-48a5-8993-cd68003a7a6f,alt,4,Medio,https://moonwell.fi/
Fluid fUSDC,Fluid,lending,USDC,ERC-4626 lending; supply USDC to Fluid Liquidity Layer,11724018,8.39,n/a,5.5,5.52,"depeg_risk,liquidation_risk",PeckShield; MixBytes; StateMind; Cantina,instant (subject to liquidity),0xf42f5795D9ac7e9D757dB633D693cD548Cfd9169,https://defillama.com/yields/pool/7372edda-f07f-4598-83e5-4edec48c4039,stable,2,Bajo,https://fluid.io/lending/8453
Moonwell Flagship USDC,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,9222246,4.85,1.06,5.16,5.2,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca,https://defillama.com/yields/pool/b39b492a-0a64-4926-8598-d5acf05d62b5,stable,3,Medio,https://app.morpho.org/base/vault/0xc1256Ae5FF1cf2719D4937adb3bbCCab2E00A2Ca
Moonwell Flagship ETH,Morpho (MetaMorpho),lending,WETH,Curated MetaMorpho vault allocating WETH across Morpho Blue markets,8818386,1.56,0.46,1.88,2.23,liquidation_risk,"MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0xa0E430870c4604CcfC7B38Ca7845B1FF653D0ff1,https://defillama.com/yields/pool/4280d14b-b720-41e2-afab-a1760dbb0d54,eth,3,Medio,https://app.morpho.org/base/vault/0xa0E430870c4604CcfC7B38Ca7845B1FF653D0ff1
YO ETH (yoETH),YO Protocol,yield_aggregator,WETH,ERC-4626 ETH yield optimizer,8788340,2.1,n/a,2.1,2.73,"centralized_dependency,withdraw_queue",Hunter Security; Offbeat; Spearbit,instant (subject to liquidity); else async <=24h,0x3a43aec53490cb9fa922847385d82fe25d0e9de7,https://defillama.com/yields/pool/2070ceaf-eedb-4795-9ede-6841ec515e1a,eth,4,Medio,https://yo.xyz/
Spark USDC Vault,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,8710423,4.03,0,3.94,3.85,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0x7BfA7C4f149E7415b73bdeDfe609237e29CBF34A,https://defillama.com/yields/pool/a5fab52f-73fa-4f44-9c09-9af1eb20996c,stable,3,Medio,https://app.morpho.org/base/vault/0x7BfA7C4f149E7415b73bdeDfe609237e29CBF34A
Moonwell cbBTC,Moonwell,lending,cbBTC,Supply cbBTC to Moonwell,8300558,0.17,0.11,0.23,0.51,"depeg_risk,liquidation_risk",Halborn; Code4rena,instant (subject to liquidity),0xF877ACaFA28c19b96727966690b2f44d35aD5976,https://defillama.com/yields/pool/b37c61f5-cd40-43ca-87ee-fa2ebf206ccb,btc,4,Medio,https://moonwell.fi/
40 Acres USDC vault,40 Acres,lending,USDC,USDC lending backing self-repaying veNFT loans,7779035,9.82,n/a,9.85,10.61,"il_risk,depeg_risk,liquidation_risk,smart_contract_unaudited,withdraw_queue",none found,epoch/queued (withdrawals impaired at research time),0xB99B6dF96d4d5448cC0a5B3e0ef7896df9507Cf5,https://defillama.com/yields/pool/35b00f23-d8f5-4a9c-822c-c323fb164215,stable,9,Alto,https://defillama.com/yields/pool/35b00f23-d8f5-4a9c-822c-c323fb164215
Vesper msETH Aggressive (vamsETH),Vesper Finance,yield_aggregator,msETH,Aggressive Grow pool deploying msETH,6828269,1.45,0,1.54,1.3,"depeg_risk,centralized_dependency",Vesper audits (multiple),instant,0x913Ece180df83A2B81A4976F83cA88543a0C51b8,https://defillama.com/yields/pool/e2b9cdfc-e605-4e5b-9feb-512729addac7,eth,4,Medio,https://app.vesper.finance/
Metronome msETH Vault,Morpho (MetaMorpho),lending,msETH,Curated MetaMorpho vault allocating msETH across Morpho Blue markets,6747158,1.96,0,2.09,2.57,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0x43Cd00De63485618A5CEEBE0de364cD6cBeB26E7,https://defillama.com/yields/pool/671d794e-9d7e-469e-8573-4298e5a02c17,eth,4,Medio,https://app.morpho.org/base/vault/0x43Cd00De63485618A5CEEBE0de364cD6cBeB26E7
Aave v3 Base aBasEURC,Aave v3,lending,EURC,Supply EURC to Aave v3 Base pool,6570267,1.34,n/a,1.61,1.96,"depeg_risk,liquidation_risk",OpenZeppelin; Trail of Bits; SigmaPrime; Certora; PeckShield; ABDK,instant (subject to liquidity),0x90DA57E0A6C0d166Bf15764E03b83745Dc90025B,https://defillama.com/yields/pool/6652ed18-d327-46cd-9bac-08e0e14ea715,stable,3,Medio,https://app.aave.com/
YO BTC (yoBTC),YO Protocol,yield_aggregator,cbBTC,ERC-4626 BTC yield optimizer,5906531,0,n/a,0,0,"depeg_risk,centralized_dependency,withdraw_queue",Hunter Security; Offbeat; Spearbit,instant (subject to liquidity); else async <=24h,0xbcbc8cb4d1e8ed048a6276a5e94a3e952660bcbc,https://defillama.com/yields/pool/ce39da50-4968-4607-acba-f3c4ce2095fe,btc,5,Medio,https://yo.xyz/
Moonwell AERO,Moonwell,lending,AERO,Supply AERO to Moonwell,5685833,1.19,0.02,1.4,1.37,liquidation_risk,Halborn; Code4rena,instant (subject to liquidity),0x73902f619CEB9B31FD8EFecf435CbDf89E369Ba6,https://defillama.com/yields/pool/52fdf254-e837-4f8f-955f-993c3fb31f91,alt,4,Medio,https://moonwell.fi/
Gami Spectra USDC metavault,Spectra,yield_aggregator,USDC,Gami-curated USDC across Spectra PT/yield pools,5574988,2.05,1.67,4.74,4.16,"depeg_risk,centralized_dependency,withdraw_queue",Code4rena; Spearbit/Cantina,epoch (~2-3d settlement),0x5e93e1193a5e297cba0856e9b3f22b6e05429b9a,https://defillama.com/yields/pool/d6037d12-ff22-417b-bdd3-e8954bf27e83,stable,4,Medio,https://app.spectra.finance/metavaults/base:0x5e93e1193a5e297cba0856e9b3f22b6e05429b9a
Steakhouse High Yield USDC v1.1,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,4198246,5.45,0,6.06,5.41,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0xBEEFA7B88064FeEF0cEe02AAeBBd95D30df3878F,https://defillama.com/yields/pool/bf346d43-ef94-4277-b159-ebadb93caef1,stable,3,Medio,https://app.morpho.org/base/vault/0xBEEFA7B88064FeEF0cEe02AAeBBd95D30df3878F
Moonwell LBTC,Moonwell,lending,LBTC,Supply LBTC to Moonwell,3785399,0.02,0.11,0.09,0.12,"depeg_risk,liquidation_risk",Halborn; Code4rena,instant (subject to liquidity),0x10fF57877b79e9bd949B3815220eC87B9fc5D2ee,https://defillama.com/yields/pool/49b5abd6-5c0b-4491-b7b2-d544257e237e,btc,4,Medio,https://moonwell.fi/
Fluid fWETH,Fluid,lending,WETH,ERC-4626 lending; supply WETH,3706097,0.34,n/a,0.34,0.75,liquidation_risk,PeckShield; MixBytes; StateMind; Cantina,instant (subject to liquidity),0x9272D6153133175175Bc276512B2336BE3931CE9,https://defillama.com/yields/pool/c0b49fb8-d73c-42ec-8538-c2b3feb69242,eth,3,Medio,https://fluid.io/lending/8453
Fluid fwstETH,Fluid,lending,wstETH,ERC-4626 lending; supply wstETH,3301024,0.11,n/a,0.11,0.09,"depeg_risk,liquidation_risk",PeckShield; MixBytes; StateMind; Cantina,instant (subject to liquidity),0x896E39f0E9af61ECA9dD2938E14543506ef2c2b5,https://defillama.com/yields/pool/36b175f1-bb53-4b27-b381-009a57657445,eth,4,Medio,https://fluid.io/lending/8453
Superform superUSDC Flagship,Superform,yield_aggregator,USDC,Rebalances USDC across Morpho/Euler/Aave + Pendle PTs,3075599,4.99,4.44,9.66,11.94,"depeg_risk,centralized_dependency,withdraw_queue",Spearbit/Cantina; Trust; Pashov,epoch/async (ERC-7540),0x11820afe50ea96851ee2bdbae329d97771e41ec6,https://defillama.com/yields/pool/a7e28f73-d613-4ddf-ab90-756018fdf299,stable,4,Medio,https://www.superform.xyz/
Sprinter USDC LP (sprUSDC-LP),Sprinter,yield_aggregator,USDC,Cross-chain liquidity rebalancing; deploys USDC to Aave,2963259,n/a,n/a,16.66,14.45,"depeg_risk,centralized_dependency",2 external audits (sprintertech),instant,0xfa89929b30bC3132f9907CBCe3F2f6f4AC0903b6,https://defillama.com/yields/pool/4c7fc9a2-bc0c-4b16-bdd3-198006d09c1d,stable,3,Medio,https://defillama.com/yields/pool/4c7fc9a2-bc0c-4b16-bdd3-198006d09c1d
Clearstar USDC Reactor,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,2559145,4.11,0,5.0,5.24,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0x1D3b1Cd0a0f242d598834b3F2d126dC6bd774657,https://defillama.com/yields/pool/34b65551-cca1-48f4-9a62-2145c24e92a4,stable,3,Medio,https://app.morpho.org/base/vault/0x1D3b1Cd0a0f242d598834b3F2d126dC6bd774657
Moonwell WETH,Moonwell,lending,WETH,Supply WETH to Moonwell,2527986,0.68,0.33,0.91,0.87,liquidation_risk,Halborn; Code4rena,instant (subject to liquidity),0x628ff693426583D9a7FB391E54366292F509D457,https://defillama.com/yields/pool/914284ae-dbef-421f-bbb7-7c42f527fd5f,eth,3,Medio,https://moonwell.fi/
IPOR TAU cbETH Dynamic Loop,IPOR Fusion,leveraged_loop,cbETH,PlasmaVault; leveraged cbETH loop on Aave,2359815,5.41,6.8,13.57,6.99,"depeg_risk,liquidation_risk,centralized_dependency,withdraw_queue",BlockSec; Protofire; Ackee; Zokyo,instant (subject to liquidity) / scheduled,0xe883426b4fc84a7f5cc86415cabbef43e73a4cc8,https://defillama.com/yields/pool/8d8b3ef8-1fee-4314-8cae-cdde303e4947,eth,7,Alto,https://app.ipor.io/fusion/base/0xe883426b4fc84a7f5cc86415cabbef43e73a4cc8
Moonwell cbXRP,Moonwell,lending,cbXRP,Supply cbXRP to Moonwell,2259634,0.0,0.24,0.14,0.79,liquidation_risk,Halborn; Code4rena,instant (subject to liquidity),0xb4fb8fed5b3AaA8434f0B19b1b623d977e07e86d,https://defillama.com/yields/pool/52aa442e-188a-4da4-9d44-b9d4a2e38192,alt,4,Medio,https://moonwell.fi/
Yearn OG USDC,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,2129127,4.96,0,4.87,4.72,"il_risk,depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0xef417a2512C5a41f69AE4e021648b69a7CdE5D03,https://defillama.com/yields/pool/ba74d2b3-ed94-45b2-8536-92dcc29dac8e,stable,5,Medio,https://app.morpho.org/base/vault/0xef417a2512C5a41f69AE4e021648b69a7CdE5D03
OUSD Vault V1,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,2118396,4.64,0,5.05,4.88,"il_risk,depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0x581Cc9a73Ec7431723A4a80699B8f801205841F1,https://defillama.com/yields/pool/2abafbda-1b32-4a8f-8c82-db3be08c3d1f,stable,5,Medio,https://app.morpho.org/base/vault/0x581Cc9a73Ec7431723A4a80699B8f801205841F1
Reserve Based ETH (bsdETH),Reserve Protocol,restaking,ETH,RToken backed by a basket of ETH LSTs,2107642,1.93,n/a,2.56,5.99,centralized_dependency,Trail of Bits; Halborn; Solidified; Ackee; Trust,instant,0xCb327b99fF831bF8223cCEd12B1338FF3aA322Ff,https://defillama.com/yields/pool/ca775845-b68a-4084-8d8d-29c31970a643,eth,3,Medio,https://app.reserve.org/
Moonwell Frontier cbBTC,Morpho (MetaMorpho),lending,cbBTC,Curated MetaMorpho vault allocating cbBTC across Morpho Blue markets,2030414,0.47,0.47,0.59,0.76,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0x543257eF2161176D7C8cD90BA65C2d4CaEF5a796,https://defillama.com/yields/pool/4d12d743-19d5-4a26-b6d7-928caff46ff1,btc,4,Medio,https://app.morpho.org/base/vault/0x543257eF2161176D7C8cD90BA65C2d4CaEF5a796
Gauntlet USDC Core,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,1992933,4.01,0,3.94,3.85,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0xc0c5689e6f4D256E861F65465b691aeEcC0dEb12,https://defillama.com/yields/pool/65653183-7d69-408f-a76c-9dd2914f306f,stable,3,Medio,https://app.morpho.org/base/vault/0xc0c5689e6f4D256E861F65465b691aeEcC0dEb12
Beefy Steakhouse High Yield USDC (Morpho),Beefy,yield_aggregator,USDC,Auto-compounds Beefy position in Morpho bbqUSDC vault,1992023,n/a,n/a,5.58,4.96,"depeg_risk,centralized_dependency",Beefy (multiple; beefy.finance/audits),instant,0xF1C55b6E063ee90A33FFE62deBe618962bae021e,https://defillama.com/yields/pool/2f6ff86c-3d82-4cd9-8e7d-bc3eb3471493,stable,3,Medio,https://app.beefy.com/vault/morpho-base-steakhouse-high-yield-usdc
