vault_name,protocol,category,underlying_assets,strategy_summary,tvl_usd,base_apy,reward_apy,net_apy_7d,net_apy_30d,risk_flags,audits,withdrawal_terms,vault_address,source_url,underlying_asset_class,risk_score,risk_tier,protocol_url
Aave v3 Base aBasLBTC,Aave v3,lending,LBTC,Supply LBTC to Aave v3 Base pool,1924673,0,n/a,0,0,"depeg_risk,liquidation_risk",OpenZeppelin; Trail of Bits; SigmaPrime; Certora; PeckShield; ABDK,instant (subject to liquidity),0x90072A4aA69B5Eb74984Ab823EFC5f91e90b3a72,https://defillama.com/yields/pool/247badef-51c2-4f50-b484-9d39226b4a4c,btc,4,Medio,https://app.aave.com/
Moonwell wstETH,Moonwell,lending,wstETH,Supply wstETH to Moonwell,1924036,0.13,0,0.13,0.17,"depeg_risk,liquidation_risk",Halborn; Code4rena,instant (subject to liquidity),0x627Fe393Bc6EdDA28e99AE648fD6fF362514304b,https://defillama.com/yields/pool/0d27f0a5-572a-41cd-98a6-ad5804f95044,eth,4,Medio,https://moonwell.fi/
Fluid fEURC,Fluid,lending,EURC,ERC-4626 lending; supply EURC,1915490,1.77,n/a,2.02,2.59,"depeg_risk,liquidation_risk",PeckShield; MixBytes; StateMind; Cantina,instant (subject to liquidity),0x1943FA26360f038230442525Cf1B9125b5DCB401,https://defillama.com/yields/pool/18e2bbf0-f05f-4802-8e1e-d0ec4ab9a4d0,stable,3,Medio,https://fluid.io/lending/8453
Harvest 40 Acres autocompound,Harvest Finance,yield_aggregator,USDC,Auto-compounds USDC supplied to 40 Acres lending vault,1898758,8.77,n/a,8.78,9.36,"depeg_risk,centralized_dependency",Halborn; PeckShield,instant,0xC777031D50F632083Be7080e51E390709062263E,https://defillama.com/yields/pool/062ba2ef-c132-4989-8e67-0ea2ebd37888,stable,3,Medio,https://app.harvest.finance/
IPOR Base ETH Lending Optimizer,IPOR Fusion,yield_aggregator,WETH,PlasmaVault; WETH lending optimizer,1852058,0.97,2.76,4.62,2.84,"centralized_dependency,withdraw_queue",BlockSec; Protofire; Ackee; Zokyo,instant (subject to liquidity) / scheduled,0x17d0f109ee895bad0b68aa104aa72bd0b003ad8e,https://defillama.com/yields/pool/a1dc9b8c-bf6b-4132-8578-a501c063a3c8,eth,4,Medio,https://app.ipor.io/fusion/base/0x17d0f109ee895bad0b68aa104aa72bd0b003ad8e
Superform SUP (Staked UP),Superform,yield_aggregator,SUP,Staked UP governance-token yield vault,1836489,0,n/a,37.78,50.62,"centralized_dependency,withdraw_queue",Spearbit/Cantina; Trust; Pashov,epoch/async (ERC-7540),0x2c71f70e2ec720ae061ae7e0316fc9654d94f417,https://defillama.com/yields/pool/53b78982-b991-4276-9208-60a1749587aa,alt,5,Medio,https://www.superform.xyz/
Yearn Morpho OG USDC Compounder (ysUSDC),Yearn,yield_aggregator,USDC,Yearn V3 vault that auto-compounds Morpho ymvOG-USDC,1828804,6.5,0,15.41,131.52,"depeg_risk,centralized_dependency",Yearn V3 framework reviews,instant,0xF115C134c23C7A05FBD489A8bE3116EbF54B0D9f,https://defillama.com/yields/pool/ea721c71-9a61-481d-aa52-b0198f325c66,stable,3,Medio,https://yearn.fi/
Moonwell rETH,Moonwell,lending,rETH,Supply rETH to Moonwell,1791743,0.0,0,0.0,0.0,"depeg_risk,liquidation_risk",Halborn; Code4rena,instant (subject to liquidity),0xCB1DaCd30638ae38F2B94eA64F066045B7d45f44,https://defillama.com/yields/pool/896e6538-944f-46ec-99a4-1bb1211028b2,eth,4,Medio,https://moonwell.fi/
Moonwell cbETH,Moonwell,lending,cbETH,Supply cbETH to Moonwell,1613545,0.01,0,0.0,0.67,"depeg_risk,liquidation_risk",Halborn; Code4rena,instant (subject to liquidity),0x3bf93770f2d4a794c3d9EBEfBAeBAE2a8f09A5E5,https://defillama.com/yields/pool/82fb3f72-1d5a-4445-bdf5-a0a4900b0895,eth,4,Medio,https://moonwell.fi/
iAERO liquid locker,iAERO Protocol,restaking,AERO,Liquid-locker receipt for permalocked veAERO,1512975,33.89,n/a,33.89,27.27,"smart_contract_unaudited,centralized_dependency",self-published only,instant (tradeable; underlying permalocked),0x81034Fb34009115F215f5d5F564AAc9FfA46a1Dc,https://defillama.com/yields/pool/696b786c-4a19-4fd2-a1b5-a4f8df762918,alt,7,Alto,https://defillama.com/yields/pool/696b786c-4a19-4fd2-a1b5-a4f8df762918
Zircuit zvUSDC,Zircuit,yield_aggregator,USDC,Omnichain modular yield strategies on USDC,1506081,8.92,n/a,8.74,8.77,"depeg_risk,centralized_dependency,withdraw_queue",2 audits (Zircuit docs),epoch/queued (keeper-processed),0x03067bbD0d41E3Fe4A0bb6ca67c99e7352Da4CAE,https://defillama.com/yields/pool/437a4c66-b5a7-416b-853a-565433679627,stable,5,Medio,https://app.zircuit.com/
Beefy Aerodrome USDC-MAI,Beefy,lp_amm,USDC-MAI LP,Auto-compounds Aerodrome USDC/MAI LP rewards,1468560,n/a,n/a,7.45,9.68,"il_risk,depeg_risk,centralized_dependency",Beefy (multiple; beefy.finance/audits),instant,0x22F8ff24861a7F7e2ec9b19C5668b43bB69202E3,https://defillama.com/yields/pool/7a6f2583-4a7b-4697-952d-1247ee82509e,lp_token,6,Alto,https://app.beefy.com/vault/aerodrome-usdc-mai
Moonwell USDC,Moonwell,lending,USDC,Supply USDC to Moonwell,1466292,7.46,1.26,5.64,5.21,"depeg_risk,liquidation_risk",Halborn; Code4rena,instant (subject to liquidity),0xEdc817A28E8B93B03976FBd4a3dDBc9f7D176c22,https://defillama.com/yields/pool/69cf831d-624a-4f23-b5e3-c0f63ad1fa01,stable,3,Medio,https://moonwell.fi/
Moonwell Flagship EURC,Morpho (MetaMorpho),lending,EURC,Curated MetaMorpho vault allocating EURC across Morpho Blue markets,1443035,1.7,1.08,1.99,2.14,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026,https://defillama.com/yields/pool/c1aee434-6c8e-4958-a851-eda8ab8bb32d,stable,3,Medio,https://app.morpho.org/base/vault/0xf24608E0CCb972b0b0f4A6446a0BBf58c701a026
Lazy Summer Lower-Risk USDC Fleet,Lazy Summer (Summer.fi),yield_aggregator,USDC,FleetCommander rebalances USDC across curated ARKs,1412421,3.81,0.65,3.46,3.9,"depeg_risk,centralized_dependency",ChainSecurity; Cantina,instant (buffer); rebalance delays possible,0x98C49e13bf99D7CAd8069faa2A370933EC9EcF17,https://defillama.com/yields/pool/7d733700-ae9c-42c3-bd44-60a4209e6297,stable,3,Medio,https://summer.fi/
IPOR wstETH Looping Base,IPOR Fusion,leveraged_loop,wstETH,PlasmaVault; leveraged wstETH loop,1389993,1.73,0,1.12,1.96,"depeg_risk,liquidation_risk,centralized_dependency,withdraw_queue",BlockSec; Protofire; Ackee; Zokyo,instant (subject to liquidity) / scheduled,0xc4c00d8b323f37527eeda27c87412378be9f68ec,https://defillama.com/yields/pool/24727d24-30cd-4a49-a45b-b5b4faeec72e,eth,7,Alto,https://app.ipor.io/fusion/base/0xc4c00d8b323f37527eeda27c87412378be9f68ec
Beefy Aerodrome msETH-WETH,Beefy,lp_amm,msETH-WETH LP,Auto-compounds Aerodrome msETH/WETH LP rewards,1373456,n/a,n/a,2.41,3.8,"il_risk,depeg_risk,centralized_dependency",Beefy (multiple; beefy.finance/audits),instant,0x4187d53fa448dc18dA79acCd27112fF065216471,https://defillama.com/yields/pool/4e694253-449d-4750-8dcd-3cfaa94452aa,lp_token,6,Alto,https://app.beefy.com/vault/aerodrome-weth-mseth
Moonwell VVV,Moonwell,lending,VVV,Supply VVV to Moonwell,1331832,0,0,0,0,liquidation_risk,Halborn; Code4rena,instant (subject to liquidity),0xd64bcb70c613a6d1f4d7d57ba64bb4a0767a9682,https://defillama.com/yields/pool/24a93dec-13fc-434f-afb7-0987cb304257,alt,4,Medio,https://moonwell.fi/
Harvest/IPOR Autopilot WETH,Harvest Finance / IPOR Fusion,yield_aggregator,WETH,Auto-rebalances WETH across Base vaults,1235440,3.7,n/a,2.89,2.97,"centralized_dependency,lockup",Halborn; PeckShield; IPOR audits,instant (no lockup),0x7872893e528Fe2c0829e405960db5B742112aa97,https://defillama.com/yields/pool/b56ecd94-1433-412b-9ebd-c313e5ae78cb,eth,5,Medio,https://app.ipor.io/fusion/base/0x7872893e528Fe2c0829e405960db5B742112aa97
Lagoon 722Capital USDC,Lagoon Finance,yield_aggregator,USDC,722 Capital managed USDC vault,1187686,12.82,n/a,14.75,13.83,"il_risk,depeg_risk,centralized_dependency,withdraw_queue",Hexens; Trust/Spearbit (Lagoon core),epoch/async (ERC-7540),0xb09f761cb13baca8ec087ac476647361b6314f98,https://defillama.com/yields/pool/121b63f2-27fd-4141-ab18-fd5f5ed15f90,stable,6,Alto,https://app.lagoon.finance/vault/8453/0xb09f761cb13baca8ec087ac476647361b6314f98
Seamless WETH Vault,Morpho (MetaMorpho),lending,WETH,Curated MetaMorpho vault allocating WETH across Morpho Blue markets,1127272,0.0,0,0.0,0.0,liquidation_risk,"MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0x27D8c7273fd3fcC6956a0B370cE5Fd4A7fc65c18,https://defillama.com/yields/pool/e44714af-97f9-4d68-917d-83625ae02ba5,eth,3,Medio,https://app.morpho.org/base/vault/0x27D8c7273fd3fcC6956a0B370cE5Fd4A7fc65c18
Yearn True Yield Dollar (TYD),Yearn,yield_aggregator,USDC,Yearn V3 multi-strategy USDC allocator,1014505,2.7,0,2.47,2.33,"depeg_risk,centralized_dependency",Yearn V3 framework reviews,instant,0xb13CF163d916917d9cD6E836905cA5f12a1dEF4B,https://defillama.com/yields/pool/4aa0a5d8-860a-4ca2-af92-69c99c6d98f2,stable,3,Medio,https://yearn.fi/
Grove x Steakhouse USDC High Yield,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,1013736,4.47,0,4.38,4.28,"il_risk,depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0xBeEf2d50B428675a1921bC6bBF4bfb9D8cF1461A,https://defillama.com/yields/pool/89e79af5-5632-4616-a04d-8408026f6d47,stable,5,Medio,https://app.morpho.org/base/vault/0xBeEf2d50B428675a1921bC6bBF4bfb9D8cF1461A
Yearn USDC Horizon (yvUSDC-H),Yearn,yield_aggregator,USDC,"Yearn V3 USDC yVault, Horizon (Maple) strategy",957882,2.05,0,1.93,1.7,"depeg_risk,centralized_dependency",Yearn V3 framework reviews,instant,0xc3BD0A2193c8F027B82ddE3611D18589ef3f62a9,https://defillama.com/yields/pool/38f24550-a071-447c-8083-d376edaba156,stable,4,Medio,https://yearn.fi/
Harvest/IPOR Autopilot USDC,Harvest Finance / IPOR Fusion,yield_aggregator,USDC,Auto-rebalances USDC across Morpho/Steakhouse etc.,949750,5.38,n/a,4.84,5.1,"depeg_risk,centralized_dependency,lockup",Halborn; PeckShield; IPOR audits,instant (no lockup),0x0d877Dc7C8Fa3aD980DfDb18B48eC9F8768359C4,https://defillama.com/yields/pool/27de63d4-e52c-414f-a0e9-fbba61216398,stable,6,Alto,https://app.ipor.io/fusion/base/0x0d877Dc7C8Fa3aD980DfDb18B48eC9F8768359C4
Compound v3 USDC Comet (cUSDCv3),Compound v3,lending,USDC,Comet base-asset supply market; lend USDC,927730,n/a,n/a,0,0,"depeg_risk,liquidation_risk",OpenZeppelin; ChainSecurity; Trail of Bits,instant (subject to liquidity),0xb125E6687d4313864e53df431d5425969c15Eb2F,https://defillama.com/yields/pool/44037889-7a8c-45f9-802b-ebd87ea2d8ca,stable,4,Medio,https://app.compound.finance/
Gauntlet WETH Core,Morpho (MetaMorpho),lending,WETH,Curated MetaMorpho vault allocating WETH across Morpho Blue markets,884751,3.21,0,4.94,2.92,liquidation_risk,"MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0x6b13c060F13Af1fdB319F52315BbbF3fb1D88844,https://defillama.com/yields/pool/6c6259b6-1226-40ca-9369-9940fdd25b0a,eth,4,Medio,https://app.morpho.org/base/vault/0x6b13c060F13Af1fdB319F52315BbbF3fb1D88844
Toros Stablecoin Yield (USDy),Toros (dHEDGE),yield_aggregator,USDC,Active stablecoin yield; auto-compounds money-market yield,880302,n/a,n/a,3.77,3.94,"depeg_risk,centralized_dependency",dHEDGE audits,instant,0x1c980456751ae40315ff73caac0843be643321be,https://defillama.com/yields/pool/8be26613-25bf-4fa2-b2cd-206975a9b389,stable,4,Medio,https://dhedge.org/vault/0x1c980456751ae40315ff73caac0843be643321be
Morpho Base wETH,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,880113,4.47,0,4.38,4.28,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0x3aC2bBD41D7A92326dA602f072D40255Dd8D23a2,https://defillama.com/yields/pool/4db9927f-f2b0-402d-9af8-ce4c9c18bd94,stable,4,Medio,https://app.morpho.org/base/vault/0x3aC2bBD41D7A92326dA602f072D40255Dd8D23a2
Superform superWETH Flagship,Superform,yield_aggregator,WETH,Rebalances WETH across lending + Pendle PTs,870970,0.67,3.58,4.72,6.77,"centralized_dependency,withdraw_queue",Spearbit/Cantina; Trust; Pashov,epoch/async (ERC-7540),0x0e70c10fa06931f7b878653a15aecc86145c1af7,https://defillama.com/yields/pool/34c1bf61-ef0e-4832-8f14-67008187d3b4,eth,5,Medio,https://www.superform.xyz/
IPOR yoUSD Looper,IPOR Fusion,leveraged_loop,USDC,PlasmaVault; leveraged yoUSD loop on USDC,850850,1.24,0,1.17,0.92,"depeg_risk,liquidation_risk,centralized_dependency,withdraw_queue",BlockSec; Protofire; Ackee; Zokyo,instant (subject to liquidity) / scheduled,0x1166250d1d6b5a1dbb73526257f6bb2bbe235295,https://defillama.com/yields/pool/43ab95db-35f3-4e54-a164-0526e1cd3b9b,stable,7,Alto,https://app.ipor.io/fusion/base/0x1166250d1d6b5a1dbb73526257f6bb2bbe235295
Beefy Aerodrome USDC-AERO,Beefy,lp_amm,USDC-AERO LP,Auto-compounds Aerodrome USDC/AERO LP rewards,829565,n/a,n/a,21.18,22.43,"il_risk,depeg_risk,centralized_dependency",Beefy (multiple; beefy.finance/audits),instant,0xc005B9833deBcF5fe6cc5bC9ba4fD74Bb382ae55,https://defillama.com/yields/pool/9ea627cd-3d02-4306-8c7d-dfe4668fa59d,lp_token,7,Alto,https://app.beefy.com/vault/aerodrome-usdc-aero
Fluid fGHO,Fluid,lending,GHO,ERC-4626 lending; supply GHO,826777,4.66,n/a,4.68,4.56,"depeg_risk,liquidation_risk",PeckShield; MixBytes; StateMind; Cantina,instant (subject to liquidity),0x8DdbfFA3CFda2355a23d6B11105AC624BDbE3631,https://defillama.com/yields/pool/652e70b1-6489-4e6c-93c7-40c1ec72e272,stable,4,Medio,https://fluid.io/lending/8453
Seamless USDC Vault,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,812715,0,0,0,0,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0x616a4E1db48e22028f6bbf20444Cd3b8e3273738,https://defillama.com/yields/pool/d294fa4d-c6df-4e6e-a6fd-ed8f5d7d6d37,stable,4,Medio,https://app.morpho.org/base/vault/0x616a4E1db48e22028f6bbf20444Cd3b8e3273738
YO EUR (yoEUR),YO Protocol,yield_aggregator,EURC,ERC-4626 EUR yield optimizer,811635,0.45,n/a,0.62,0.95,"depeg_risk,centralized_dependency,withdraw_queue",Hunter Security; Offbeat; Spearbit,instant (subject to liquidity); else async <=24h,0x50c749ae210d3977adc824ae11f3c7fd10c871e9,https://defillama.com/yields/pool/68ebb322-e83a-45b3-8cea-edd62cd1467b,stable,5,Medio,https://yo.xyz/
Steakhouse ETH,Morpho (MetaMorpho),lending,WETH,Curated MetaMorpho vault allocating WETH across Morpho Blue markets,704925,1.63,0,1.74,1.81,liquidation_risk,"MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0xbEEf050a7485865A7a8d8Ca0CC5f7536b7a3443e,https://defillama.com/yields/pool/3f35982b-9cfb-4c1d-9667-b8a4085db313,eth,4,Medio,https://app.morpho.org/base/vault/0xbEEf050a7485865A7a8d8Ca0CC5f7536b7a3443e
Lagoon DeTrade Core USDC (dtUSDC),Lagoon Finance,yield_aggregator,USDC,DeTrade managed USDC core vault,692954,7.08,n/a,5.76,5.92,"depeg_risk,centralized_dependency,withdraw_queue",Hexens; Trust/Spearbit (Lagoon core),epoch/async (ERC-7540),0x8092ca384d44260ea4feaf7457b629b8dc6f88f0,https://defillama.com/yields/pool/e4f8123d-1e03-408e-869a-76708a62bc89,stable,5,Medio,https://app.lagoon.finance/vault/8453/0x8092ca384d44260ea4feaf7457b629b8dc6f88f0
Extrafi XLend WETH,Morpho (MetaMorpho),lending,WETH,Curated MetaMorpho vault allocating WETH across Morpho Blue markets,660389,0.84,0,1.09,1.54,liquidation_risk,"MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0x5A32099837D89E3a794a44fb131CBbAD41f87a8C,https://defillama.com/yields/pool/55e01f49-a667-475e-bb98-fe02a02f355b,eth,4,Medio,https://app.morpho.org/base/vault/0x5A32099837D89E3a794a44fb131CBbAD41f87a8C
Beefy Aerodrome msUSD-USDC,Beefy,lp_amm,msUSD-USDC LP,Auto-compounds Aerodrome msUSD/USDC LP rewards,650424,n/a,n/a,n/a,7.35,"il_risk,depeg_risk,centralized_dependency",Beefy (multiple; beefy.finance/audits),instant,0x753Ff04FF5DD67e756405b2eDD9bba41aa63C5e9,https://defillama.com/yields/pool/de291a55-b175-4427-8da4-68629be1b0e3,lp_token,7,Alto,https://app.beefy.com/vault/aerodrome-msusd-usdc
UltraYield USDC,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,648431,4.09,2.96,5.46,6.81,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0x5435BC53f2C61298167cdB11Cdf0Db2BFa259ca0,https://defillama.com/yields/pool/c29704a4-3537-459d-bc4d-1f8812f28bcd,stable,4,Medio,https://app.morpho.org/base/vault/0x5435BC53f2C61298167cdB11Cdf0Db2BFa259ca0
Arcadia V2 cbBTC Lending Pool,Arcadia Finance,lending,cbBTC,ERC-4626 cbBTC lending pool,644851,0.38,n/a,0.69,2.07,"depeg_risk,liquidation_risk",2 external audits (audits-v2),instant (subject to utilization),0xa37e9b4369dc20940009030bfbc2088f09645e3b,https://defillama.com/yields/pool/d08bc07b-61f9-4781-855e-c0307df05494,btc,5,Medio,https://arcadia.finance/
Harvest Fluid USDC,Harvest Finance,yield_aggregator,USDC,"Supplies USDC to Fluid, auto-compounds",612171,4.99,n/a,5.07,5.04,"depeg_risk,centralized_dependency",Halborn; PeckShield,instant,0xD9e38d724CC5ee983BC0Fd0Ce35C3eB20417b673,https://defillama.com/yields/pool/0caf8328-97b1-4b1a-aa02-0d95b9d20e18,stable,4,Medio,https://app.harvest.finance/
Moonwell WELL,Moonwell,lending,WELL,Supply WELL to Moonwell,592824,0.41,0.5,0.74,0.87,liquidation_risk,Halborn; Code4rena,instant (subject to liquidity),0xdC7810B47eAAb250De623F0eE07764afa5F71ED1,https://defillama.com/yields/pool/09531322-a5eb-49fb-b610-93e545f664be,alt,5,Medio,https://moonwell.fi/
Centrifuge deJAAA (Janus Henderson AAA CLO),Centrifuge,rwa,USDC,"deRWA wrapper of JAAA AAA-CLO fund, USDC-priced",590950,5.99,n/a,4.35,3.95,"depeg_risk,centralized_dependency,withdraw_queue",fund-level oversight (no smart-contract firm found),instant via DEX liquidity; primary redeem epoch,0xaAa0008C8cf3a7dCA931adAf04336a5D808c82CC,https://defillama.com/yields/pool/61813eeb-ed26-44ee-bb0b-059f0faa1dcf,stable,5,Medio,https://app.centrifuge.io/
Moonwell VIRTUAL,Moonwell,lending,VIRTUAL,Supply VIRTUAL to Moonwell,566351,0.01,0.42,0.23,2.24,liquidation_risk,Halborn; Code4rena,instant (subject to liquidity),0xdE8Df9d942D78edE3Ca06e60712582F79CFfFC64,https://defillama.com/yields/pool/5bf828b8-5da4-4b61-af7c-00f282b4b2fe,alt,5,Medio,https://moonwell.fi/
Yield Clearstar USDC,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,562492,5.0,0,5.26,5.09,"depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0xE74c499fA461AF1844fCa84204490877787cED56,https://defillama.com/yields/pool/44b5ceb6-274a-4193-9665-ff497ec1e535,stable,4,Medio,https://app.morpho.org/base/vault/0xE74c499fA461AF1844fCa84204490877787cED56
Safe x Steakhouse USDC,Morpho (MetaMorpho),lending,USDC,Curated MetaMorpho vault allocating USDC across Morpho Blue markets,557284,4.0,0,3.93,3.85,"il_risk,depeg_risk,liquidation_risk","MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0xbeEFe1372c0A384aCEcBe8a0Adf3c94c389F6704,https://defillama.com/yields/pool/dcba17b8-1ccf-4e87-bd71-4011d31a4bf5,stable,6,Alto,https://app.morpho.org/base/vault/0xbeEFe1372c0A384aCEcBe8a0Adf3c94c389F6704
Clearstar ETH Reactor,Morpho (MetaMorpho),lending,WETH,Curated MetaMorpho vault allocating WETH across Morpho Blue markets (not tracked by DeFiLlama >=$500k),514209,4.87,n/a,n/a,n/a,liquidation_risk,"MetaMorpho & Morpho Blue: Spearbit, Cantina, OpenZeppelin",instant (subject to market liquidity),0x09832347586E238841F49149C84d121Bc2191C53,https://app.morpho.org/base/vault/0x09832347586E238841F49149C84d121Bc2191C53,eth,4,Medio,https://app.morpho.org/base/vault/0x09832347586E238841F49149C84d121Bc2191C53
Beefy Aerodrome cbETH-WETH (CLM),Beefy,lp_amm,cbETH-WETH LP,Auto-compounds Aerodrome cbETH/WETH concentrated LP,509060,n/a,n/a,1.5,0.96,"il_risk,depeg_risk,centralized_dependency",Beefy (multiple; beefy.finance/audits),instant,0x6A9E27A4b41aD09D95c81E111451a48704869775,https://defillama.com/yields/pool/1db8b8bb-8b10-4070-a992-07d3fb8f961e,lp_token,7,Alto,https://app.beefy.com/vault/aero-cow-cbeth-weth-vault
