vault_name,protocol,category,underlying_assets,strategy_summary,tvl_usd,base_apy,reward_apy,net_apy_7d,net_apy_30d,risk_flags,audits,withdrawal_terms,vault_address,source_url,underlying_asset_class,risk_score,risk_tier,protocol_url,protocol_tier
Lido Staked ETH (stETH),Lido,restaking,ETH,Liquid staking token; rebasing receipt for ETH staked across Lido node operators,15584466012,2.51,n/a,2.43,2.45,"depeg_risk,centralized_dependency,withdraw_queue","Sigma Prime, MixBytes, Statemind",withdraw queue (unstaking ~1-5 days),0xae7ab96520de3a18e5e111b5eaab095312d7fe84,https://defillama.com/yields/pool/747c1d2a-c668-4682-b9f9-296708a3dd90,eth,3,Medio,https://lido.fi,Tier 1
Savings USDS (sUSDS),Sky,yield_aggregator,USDS,ERC4626 savings token accruing the governance-set Sky Savings Rate on deposited USDS,6157101013,3.6,n/a,3.6,3.64,"depeg_risk,centralized_dependency","ChainSecurity, Cantina",instant,0xa3931d71877c0e7a3148cb7eb4463524fec27fbd,https://defillama.com/yields/pool/d8c4eff5-c8a9-46fc-a888-057c4c668e72,stable,1,Bajo,https://app.sky.money/,Tier 1
Wrapped Binance Beacon ETH (wBETH),Binance,restaking,ETH,Binance liquid staking token; value-accruing wrapper over ETH staked by Binance,6101750376,2.64,n/a,2.47,2.48,"depeg_risk,centralized_dependency,withdraw_queue","PeckShield, SlowMist, Supremacy",redemption via Binance (off-chain process),0xa2e3356610840701bdf5611a53974510ae27e2e1,https://defillama.com/yields/pool/80b8bf92-b953-4c20-98ea-c9653ef2bb98,eth,3,Medio,https://www.binance.com/en/wbeth,Tier 2
Syrup USDC,Maple Finance,lending,USDC,"Deposit USDC; pooled lending to vetted institutional borrowers posting collateral, earning interest.",3087592550,4.62,0,4.64,4.83,"depeg_risk,liquidation_risk,centralized_dependency","Spearbit, Three Sigma",instant (subject to liquidity),0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,https://defillama.com/yields/pool/43641cf5-a92e-416b-bce9-27113d3c0db6,stable,2,Bajo,https://syrup.fi,Tier 1
Wrapped eETH (weETH),ether.fi,restaking,ETH,"Liquid restaking token; staked ETH restaked via EigenLayer, wrapped non-rebasing weETH accrues yield.",3020543776,2.97,0.06,2.8,2.69,"depeg_risk,centralized_dependency","Certora, Nethermind, Zellic, Omniscia",withdraw queue (unstake to ETH),0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,https://defillama.com/yields/pool/46bd2bdf-6d92-4066-b482-e885ee172264,eth,2,Bajo,https://www.ether.fi,Tier 1
Rocket Pool ETH (rETH),Rocket Pool,restaking,ETH,Decentralized liquid staking token; value-accruing receipt for ETH staked via Rocket Pool node operators,2385914801,2.06,n/a,2.05,2.04,"depeg_risk,centralized_dependency","Sigma Prime, ConsenSys Diligence, Trail of Bits",instant (subject to deposit pool liquidity),0xae78736cd615f374d3085123a210448e74fc6393,https://defillama.com/yields/pool/d4b3c522-6127-4b89-bedf-83641cdcd2eb,eth,2,Bajo,https://rocketpool.net,Tier 1
SparkLend spWstETH,SparkLend,lending,wstETH,Supply wstETH to SparkLend (Aave v3 fork) money market; earn supply interest via spToken.,2076083177,0,n/a,0.0,0,"liquidation_risk,depeg_risk","ChainSecurity, Cantina",instant (subject to utilization),0x12b54025c112aa61face2cdb7118740875a566e9,https://defillama.com/yields/pool/3b45941c-16cb-48c5-a490-16c6c4f1d86a,eth,2,Bajo,https://app.spark.fi/markets,Tier 1
Aave v3 WBTC (aEthWBTC),Aave v3,lending,WBTC,Supply WBTC to Aave v3 Core market; receive aToken earning variable borrow-driven interest.,1889945010,0.01,n/a,0.01,0.01,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Trail of Bits, Certora, ABDK, PeckShield",instant (subject to utilization),0x5ee5bf7ae06d1be5997a1a72006fe6c607ec6de8,https://defillama.com/yields/pool/7e382157-b1bc-406d-b17b-facba43b716e,btc,2,Bajo,https://app.aave.com/reserve-overview/?underlyingAsset=0x2260fac5e5542a773aa44fbcfedf7c193bc2c599&marketName=proto_mainnet_v3,Tier 1
Aave v3 weETH (aEthweETH),Aave v3,lending,weETH,Supply weETH (ether.fi LRT) to Aave v3 Core; receive aToken earning supply interest.,1844943043,0.0,n/a,0.0,0.0,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Trail of Bits, Certora, ABDK, PeckShield",instant (subject to utilization),0xbdfa7b7893081b35fb54027489e2bc7a38275129,https://defillama.com/yields/pool/db678df9-3281-4bc2-a8bb-01160ffd6d48,eth,2,Bajo,https://app.aave.com/reserve-overview/?underlyingAsset=0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee&marketName=proto_mainnet_v3,Tier 1
Staked USDe (sUSDe),Ethena,basis_trade,USDe,ERC-4626 staking vault distributing delta-neutral basis-trade yield from USDe collateral,1737855214,3.89,n/a,3.82,3.86,"depeg_risk,centralized_dependency,lockup","Spearbit, Quantstamp, Cyfrin",7d unstaking cooldown,0x9d39a5de30e57443bff2a8307a4256c8797a3497,https://defillama.com/yields/pool/66985a81-9c51-46ca-9977-42b4fe7bc6df,stable,3,Medio,https://app.ethena.fi,Tier 1
Aave v3 wstETH (aEthwstETH),Aave v3,lending,wstETH,Supply wstETH (Lido LST) to Aave v3 Core; receive aToken earning supply interest.,1429469273,0.0,n/a,0.0,0.0,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Trail of Bits, Certora, ABDK, PeckShield",instant (subject to utilization),0x0b925ed163218f6662a35e0f0371ac234f9e9371,https://defillama.com/yields/pool/e6435aae-cbe9-4d26-ab2c-a4d533db9972,eth,2,Bajo,https://app.aave.com/reserve-overview/?underlyingAsset=0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0&marketName=proto_mainnet_v3,Tier 1
Spark USDT Savings Vault (spUSDT),Spark,yield_aggregator,USDT,ERC4626 vault; USDT deployed via Spark Liquidity Layer across curated yield strategies,1263601458,2.5,n/a,2.5,2.5,"depeg_risk,centralized_dependency","ChainSecurity, Cantina",instant (subject to available liquidity),0xe2e7a17dff93280dec073c995595155283e3c372,https://defillama.com/yields/pool/a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,stable,1,Bajo,https://app.spark.fi/savings/mainnet/spusdt,Tier 1
US Dollar Yield (USDY),Ondo Finance,rwa,USDC,Tokenized note backed by short-term US Treasuries and bank deposits; yield-accruing USDY.,1097374822,3.55,n/a,3.55,3.55,"depeg_risk,centralized_dependency,lockup",none found,KYC redemption window,0x96f6ef951840721adbf46ac996b59e0235cb985c,https://defillama.com/yields/pool/ac61ee82-2fe4-4f9b-a9cd-7fb33f598859,stable,3,Medio,https://ondo.finance/usdy,Tier 1
Kelp rsETH,Kelp DAO,restaking,"stETH,ETHx,ETH","Liquid restaking token; deposits LSTs/ETH restaked via EigenLayer, value-accruing rsETH",1067814498,3.77,n/a,3.58,2.28,"depeg_risk,centralized_dependency,withdraw_queue","Sigma Prime, Code4rena, Nethermind",withdraw queue (unbonding via EigenLayer ~7d),0xa1290d69c65a6fe4df752f95823fae25cb99e5a7,https://defillama.com/yields/pool/33c732f6-a78d-41da-af5b-ccd9fa5e52d5,eth,3,Medio,https://kelpdao.xyz,Tier 2
Aave v3 cbBTC (aEthcbBTC),Aave v3,lending,cbBTC,Supply cbBTC (Coinbase wrapped BTC) to Aave v3 Core; receive aToken earning supply interest.,1028179899,0.0,n/a,0.0,0.0,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Trail of Bits, Certora, ABDK, PeckShield",instant (subject to utilization),0x5c647ce0ae10658ec44fa4e11a51c96e94efd1dd,https://defillama.com/yields/pool/b1986007-81f3-4150-9565-94d5a4066ce4,btc,2,Bajo,https://app.aave.com/reserve-overview/?underlyingAsset=0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf&marketName=proto_mainnet_v3,Tier 1
Syrup USDT,Maple Finance,lending,USDT,"Deposit USDT; pooled lending to vetted institutional borrowers posting collateral, earning interest.",882150528,4.0,0,4.08,4.29,"depeg_risk,liquidation_risk,centralized_dependency","Spearbit, Three Sigma",instant (subject to liquidity),0x356b8d89c1e1239cbbb9de4815c39a1474d5ba7d,https://defillama.com/yields/pool/8edfdf02-cdbb-43f7-bca6-954e5fe56813,stable,2,Bajo,https://syrup.fi,Tier 1
Janus Henderson Anemoy Treasury Fund (JTRSY),Centrifuge,rwa,USDS,Tokenized short-term US Treasury fund (Janus Henderson/Anemoy) on Centrifuge; ERC-7540 async share.,865132548,3.24,n/a,2.93,3.2,"depeg_risk,centralized_dependency,lockup,withdraw_queue",none found,epoch settlement (KYC),0x8c213ee79581ff4984583c6a801e5263418c4b86,https://defillama.com/yields/pool/ff1bb959-d160-4906-bad2-d3e37a1e92e8,stable,4,Medio,https://www.anemoy.io/funds/jtrsy,Tier 2
BlackRock USD Institutional Digital Liquidity Fund - I Class (BUIDL-I),BlackRock / Securitize,rwa,USDC,"Tokenized money-market fund (cash, US Treasuries, repo); I-class share, daily dividend accrual.",838789220,3.54,n/a,3.55,3.56,"depeg_risk,centralized_dependency,lockup",none found,KYC redemption T+0,0x6a9da2d710bb9b700acde7cb81f10f1ff8c89041,https://defillama.com/yields/pool/b663ca59-c7e6-4435-ae4a-28d339ce6a15,stable,3,Medio,https://securitize.io/primary-market/the-blackrock-usd-institutional-digital-liquidity-fund,Tier 1
SparkLend spUSDS,SparkLend,lending,USDS,Supply USDS to SparkLend money market; earn supply interest plus SPK farming incentives.,812311434,n/a,2.69,3.09,3.59,"liquidation_risk,depeg_risk","ChainSecurity, Cantina",instant (subject to utilization),0xc02ab1a5eaa8d1b114ef786d9bde108cd4364359,https://defillama.com/yields/pool/54e9b138-3146-4c1f-8dce-1cb948f5ef96,stable,1,Bajo,https://app.spark.fi/markets,Tier 1
Superstate Short Duration US Government Securities Fund (USTB),Superstate (Invesco-managed),rwa,USTB,Tokenized fund holding short-duration US Treasury bills and agency securities; KYC-gated,736960403,3.72,n/a,3.44,3.31,"centralized_dependency,lockup",none found,KYC redemption (T+0/T+1 window),0x43415eb6ff9db7e26a15b704e7a3edce97d31c4e,https://defillama.com/yields/pool/1910847a-f8b5-40ce-a1ab-1dafdded5fbb,stable,2,Bajo,https://superstate.com/assets/ustb,Tier 1
Liquid Staked ETH (LsETH),Liquid Collective,restaking,ETH,"Enterprise liquid staking token; ETH staked across vetted node operators, value accrues via exchange rate.",615801023,2.57,n/a,2.38,2.26,"depeg_risk,centralized_dependency,withdraw_queue","Spearbit, Halborn",redemption via validator exit queue,0x8c1bed5b9a0928467c9b1341da1d7bd5e10b6549,https://defillama.com/yields/pool/465d177e-3d0d-42c0-b5f5-31c857567135,eth,3,Medio,https://liquidcollective.io,Tier 2
Aave v3 WETH (aEthWETH),Aave v3,lending,WETH,Supply WETH to Aave v3 Core market; receive aToken earning variable supply interest.,615272367,1.4,n/a,1.42,1.6,liquidation_risk,"SigmaPrime, OpenZeppelin, Trail of Bits, Certora, ABDK, PeckShield",instant (subject to utilization),0x4d5f47fa6a74757f35c14fd3a6ef8e3c9bc514e8,https://defillama.com/yields/pool/e880e828-ca59-4ec6-8d4f-27182a4dc23d,eth,1,Bajo,https://app.aave.com/reserve-overview/?underlyingAsset=0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2&marketName=proto_mainnet_v3,Tier 1
Lombard Staked BTC (LBTC),Lombard,restaking,BTC,Liquid staked BTC 1:1 backed by BTC staked via Babylon; yield-bearing cross-chain token.,576445302,0.33,n/a,0.33,0.34,"depeg_risk,centralized_dependency,withdraw_queue","Halborn, OpenZeppelin",redemption via unstaking queue,0x8236a87084f8b84306f72007f36f2618a5634494,https://defillama.com/yields/pool/c9762afb-7746-4b5a-a484-a8881a348999,btc,3,Medio,https://www.lombard.finance,Tier 2
Concrete Delta WeETH (ctDeltaWeETH),Concrete,basis_trade,weETH,Delta-neutral weETH vault; LST yield plus hedged basis/funding strategies via keeper,532648511,0,n/a,0.0,0,"depeg_risk,centralized_dependency,withdraw_queue","Spearbit, Hexens",epoch settlement,0xb9dc54c8261745cb97070cefbe3d3d815aee8f20,https://defillama.com/yields/pool/2393da89-4672-4812-b45a-7c8552603a20,eth,3,Medio,https://app.concrete.xyz/earn,Tier 3
Usual bUSD0 (USD0++ bond),Usual,rwa,USD0,"Yield-bearing bond locking USD0 (T-bill-backed stablecoin) until maturity, accruing USUAL rewards.",507616197,n/a,2.84,3.15,3.47,"depeg_risk,centralized_dependency,lockup","Halborn, Cantina, Sherlock",locked until maturity (2028) or floor-price exit,0x35d8949372d46b7a3d5a56006ae77b215fc69bc0,https://defillama.com/yields/pool/55b0893b-1dbb-47fd-9912-5e439cd3d511,stable,3,Medio,https://app.usual.money,Tier 2
Mantle Staked Ether (mETH),mETH Protocol,restaking,ETH,"Liquid staking token; ETH staked across node operators, value accrues via exchange rate.",399870731,1.74,n/a,2.27,2.12,"depeg_risk,centralized_dependency,withdraw_queue","Verilog, Secure3, OpenZeppelin",redemption via unstake request queue,0xd5f7838f5c461feff7fe49ea5ebaf7728bb0adfa,https://defillama.com/yields/pool/b9f2f00a-ba96-4589-a171-dde979a23d87,eth,3,Medio,https://meth.mantle.xyz,Tier 2
Aave v3 USDT (aEthUSDT),Aave v3,lending,USDT,Supply USDT to Aave v3 Core market; receive aToken earning variable supply interest.,390461829,2.73,n/a,2.57,2.9,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Trail of Bits, Certora, ABDK, PeckShield",instant (subject to utilization),0x23878914efe38d27c4d67ab83ed1b93a74d4086a,https://defillama.com/yields/pool/f981a304-bb6c-45b8-b0c5-fd2f515ad23a,stable,1,Bajo,https://app.aave.com/reserve-overview/?underlyingAsset=0xdac17f958d2ee523a2206206994597c13d831ec7&marketName=proto_mainnet_v3,Tier 1
SparkLend spCbBTC,SparkLend,lending,cbBTC,Supply cbBTC to SparkLend money market; earn supply interest via spToken.,312779087,0.0,n/a,0.0,0.0,"liquidation_risk,depeg_risk","ChainSecurity, Cantina",instant (subject to utilization),0xb3973d459df38ae57797811f2a1fd061da1bc123,https://defillama.com/yields/pool/00d1e1f8-b3c8-4350-a247-5da693d2d4dd,btc,2,Bajo,https://app.spark.fi/markets,Tier 1
Spark USDC Savings Vault (spUSDC),Spark,yield_aggregator,USDC,ERC4626 vault; USDC deployed via Spark Liquidity Layer across curated yield strategies,303246548,3.6,n/a,3.6,3.64,"depeg_risk,centralized_dependency","ChainSecurity, Cantina",instant (subject to available liquidity),0x28b3a8fb53b741a8fd78c0fb9a6b2393d896a43d,https://defillama.com/yields/pool/c5c74dd1-995c-4445-9d84-3e710bad7d52,stable,1,Bajo,https://app.spark.fi/savings/mainnet/spusdc,Tier 1
Sentora PYUSD,Morpho (Sentora curator),lending,PYUSD,Curated MetaMorpho vault lending PYUSD across isolated Morpho Blue markets,291316153,1.6,3.35,4.96,5.11,"depeg_risk,liquidation_risk,centralized_dependency","Morpho MetaMorpho: Spearbit, OpenZeppelin, Cantina",instant (subject to utilization),0x19b3cd7032b8c062e8d44eacad661a0970dd8c55,https://defillama.com/yields/pool/699f25fe-09f4-4f82-8f58-baa5b0af8fa4,stable,2,Bajo,https://app.morpho.org/ethereum/vault/0x19b3cD7032B8C062E8d44EaCad661a0970DD8c55/sentora-pyusd,Tier 1
SparkLend spWETH,SparkLend,lending,WETH,Supply WETH to SparkLend money market; earn supply interest via spToken.,255468314,1.31,n/a,1.35,1.4,liquidation_risk,"ChainSecurity, Cantina",instant (subject to utilization),0x59cd1c87501baa753d0b5b5ab5d8416a45cd71db,https://defillama.com/yields/pool/24195b31-d749-445f-bf9e-b65aa025ebdd,eth,1,Bajo,https://app.spark.fi/markets,Tier 1
Aave v3 sUSDe (aEthsUSDe),Aave v3,lending,sUSDe,Supply Ethena sUSDe to Aave v3 Core; receive aToken earning supply interest plus rewards.,244570059,0,3.07,3.03,2.6,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Trail of Bits, Certora, ABDK, PeckShield",instant (subject to utilization),0x4579a27af00a62c0eb156349f31b345c08386419,https://defillama.com/yields/pool/29932dea-cd71-44c3-95bd-3e1525f4e3dd,stable,1,Bajo,https://app.aave.com/reserve-overview/?underlyingAsset=0x9d39a5de30e57443bff2a8307a4256c8797a3497&marketName=proto_mainnet_v3,Tier 1
StakeWise Staked ETH (osETH),StakeWise,restaking,ETH,Liquid staking token minted against ETH staked in StakeWise V2/V3 vaults; overcollateralized.,235969274,2.41,n/a,n/a,2.31,"depeg_risk,centralized_dependency,withdraw_queue","Sigma Prime, Halborn",redemption via validator exit queue,0xf1c9acdc66974dfb6decb12aa385b9cd01190e38,https://defillama.com/yields/pool/4d01599c-69ae-41a3-bae1-5fab896f04c8,eth,3,Medio,https://app.stakewise.io,Tier 2
Coinbase Wrapped Staked ETH (cbETH),Coinbase,restaking,ETH,Coinbase-issued liquid staking token representing ETH staked via Coinbase; value accrues via exchange rate.,227003508,3.13,n/a,n/a,2.85,"depeg_risk,centralized_dependency",OpenZeppelin,"redeem via Coinbase (centralized, KYC)",0xbe9895146f7af43049ca1c1ae358b0541ea49704,https://defillama.com/yields/pool/0f45d730-b279-4629-8e11-ccb5cc3038b4,eth,2,Bajo,https://www.coinbase.com/cbeth,Tier 1
Savings DAI (sDAI),Sky (Spark/Maker DSR),yield_aggregator,DAI,ERC4626 savings token accruing the DAI Savings Rate (DSR) on deposited DAI,219816814,1.25,n/a,n/a,1.25,"depeg_risk,centralized_dependency",ChainSecurity,instant,0x83f20f44975d03b1b09e64809b757c47f942beea,https://defillama.com/yields/pool/c8a24fee-ec00-4f38-86c0-9f6daebc4225,stable,1,Bajo,https://app.sky.money/,Tier 1
Short-term US Government Securities (OUSG),Ondo Finance,rwa,USDC,Tokenized fund holding short-term US Treasury/T-bill exposure (incl. BUIDL); OUSG accrues yield.,218578313,3.42,n/a,n/a,3.45,"depeg_risk,centralized_dependency,lockup",none found,KYC redemption (instant via stablecoin window),0x1b19c19393e2d034d8ff31ff34c81252fcbbee92,https://defillama.com/yields/pool/7436db9b-2872-46c8-81a2-da6baff902b7,stable,3,Medio,https://ondo.finance/ousg,Tier 1
Apyx apyUSD Vault,Apyx,rwa,apxUSD,ERC-4626 vault wrapping apxUSD; accrues dividends from Digital Asset Treasury preferred-equity shares.,216191239,10.98,n/a,n/a,10.73,"depeg_risk,centralized_dependency",none found,unlock/redeem to apxUSD,0x38eeb52f0771140d10c4e9a9a72349a329fe8a6a,https://defillama.com/yields/pool/cb6139f9-4a68-4efd-8245-0312a92aee55,stable,1,Bajo,https://app.apyx.fi,Tier 3
Sentora RLUSD Main,Morpho (Sentora curator),lending,RLUSD,Curated Morpho Vault V2 lending RLUSD across isolated Morpho Blue markets,207378823,1.81,3.71,n/a,5.15,"depeg_risk,liquidation_risk,centralized_dependency","Morpho Vault V2: Spearbit, OpenZeppelin, Cantina",instant (subject to utilization),0x6dc58a0fdfc8d694e571dc59b9a52eeea780e6bf,https://defillama.com/yields/pool/2e53bb82-f13f-4157-a3bf-b1a91b94b6a4,stable,2,Bajo,https://app.morpho.org/ethereum/vault/0x6dC58a0FdfC8D694e571DC59B9A52EEEa780E6bf,Tier 1
Stader ETHx,Stader,restaking,ETH,Liquid staking token; ETH staked across permissioned and permissionless node operators.,205899092,2.25,n/a,n/a,2.32,"depeg_risk,centralized_dependency,withdraw_queue","Halborn, Code4rena, Sigma Prime",redemption via unstake queue,0xa35b1b31ce002fbf2058d22f30f95d405200a15b,https://defillama.com/yields/pool/90bfb3c2-5d35-4959-a275-ba5085b08aa3,eth,3,Medio,https://www.staderlabs.com/eth,Tier 2
SparkLend spLBTC,SparkLend,lending,LBTC,Supply LBTC to SparkLend money market; earn supply interest via spToken.,187048765,0,n/a,n/a,0,"liquidation_risk,depeg_risk","ChainSecurity, Cantina",instant (subject to utilization),0xa9d4ecebd48c282a70cfd3c469d6c8f178a5738e,https://defillama.com/yields/pool/ff17b423-bccc-4d12-9a72-68bde120ac62,btc,2,Bajo,https://app.spark.fi/markets,Tier 1
Aave v3 osETH (aEthosETH),Aave v3,lending,osETH,Supply osETH (StakeWise LST) to Aave v3 Core; receive aToken earning supply interest.,185950567,0,n/a,n/a,0,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Trail of Bits, Certora, ABDK, PeckShield",instant (subject to utilization),0x927709711794f3de5ddbf1d176bee2d55ba13c21,https://defillama.com/yields/pool/e043585f-923f-4009-934f-005232f34a27,eth,2,Bajo,https://app.aave.com/reserve-overview/?underlyingAsset=0xf1c9acdc66974dfb6decb12aa385b9cd01190e38&marketName=proto_mainnet_v3,Tier 1
Aave v3 USDC (aEthUSDC),Aave v3,lending,USDC,Supply USDC to Aave v3 Core market; receive aToken earning variable supply interest.,185761776,3.24,n/a,n/a,3.75,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Trail of Bits, Certora, ABDK, PeckShield",instant (subject to utilization),0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,https://defillama.com/yields/pool/aa70268e-4b52-42bf-a116-608b370f9501,stable,1,Bajo,https://app.aave.com/reserve-overview/?underlyingAsset=0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48&marketName=proto_mainnet_v3,Tier 1
BlackRock USD Institutional Digital Liquidity Fund (BUIDL),BlackRock / Securitize,rwa,USDC,"Tokenized money-market fund (cash, US Treasuries, repo); original share class, daily dividend accrual.",178575733,3.2,n/a,n/a,3.21,"depeg_risk,centralized_dependency,lockup",none found,KYC redemption T+0,0x7712c34205737192402172409a8f7ccef8aa2aec,https://defillama.com/yields/pool/b2b1d98f-cac1-4e7b-8cd8-d67b576fd259,stable,3,Medio,https://securitize.io/primary-market/the-blackrock-usd-institutional-digital-liquidity-fund,Tier 1
Janus Henderson Anemoy AAA CLO Fund (JAAA),Centrifuge,rwa,USDC,Tokenized AAA-rated CLO fund (floating-rate) by Janus Henderson/Anemoy on Centrifuge; ERC-7540 async.,174588835,2.32,n/a,n/a,4.1,"depeg_risk,centralized_dependency,lockup,withdraw_queue",none found,epoch settlement (KYC),0x5a0f93d040de44e78f251b03c43be9cf317dcf64,https://defillama.com/yields/pool/325645ce-4e97-49cb-a8e8-d0100c3aea7b,stable,4,Medio,https://www.anemoy.io/funds/jaaa,Tier 2
Re Protocol reUSD,Re,other,"USDC,USDT,USDe,sUSDe",Senior-tranche deposit token channeling stablecoin capital into collateralized reinsurance contracts.,174501444,5.23,n/a,5.1,5.61,"depeg_risk,centralized_dependency,withdraw_queue",none found,redemption via withdrawal request,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://defillama.com/yields/pool/1c312830-ee96-40c9-b55f-b0f209ca6ebd,stable,2,Bajo,https://www.re.xyz,Tier 3
Fluid wstETH (fwstETH),Fluid,lending,wstETH,Supply wstETH to Fluid permissionless money market; earn borrower interest via ERC4626 fToken.,163744189,0.03,n/a,0.04,0.06,"liquidation_risk,depeg_risk","StateMind, MixBytes",instant (subject to utilization),0x2411802d8bea09be0af8fd8d08314a63e706b29c,https://defillama.com/yields/pool/69b12bf9-edb6-46d9-b5bc-761cf9efe137,eth,2,Bajo,https://fluid.io/lending/1,Tier 1
