vault_name,protocol,category,underlying_assets,strategy_summary,tvl_usd,base_apy,reward_apy,net_apy_7d,net_apy_30d,risk_flags,audits,withdrawal_terms,vault_address,source_url,underlying_asset_class,risk_score,risk_tier,protocol_url,protocol_tier
Aave v3 USDe (aEthUSDe),Aave v3,lending,USDe,Supply Ethena USDe to Aave v3 Core; receive aToken earning supply interest plus rewards.,156371762,1.0,3.07,4.18,5.14,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Trail of Bits, Certora, ABDK, PeckShield",instant (subject to utilization),0x4f5923fc5fd4a93352581b38b7cd26943012decf,https://defillama.com/yields/pool/21e1ac8a-b3aa-4576-9506-0b40137721a0,stable,1,Bajo,https://app.aave.com/reserve-overview/?underlyingAsset=0x4c9edd5852cd905f086c759e8383e09bff1e68b3&marketName=proto_mainnet_v3,Tier 1
SparkLend spWBTC,SparkLend,lending,WBTC,Supply WBTC to SparkLend money market; earn supply interest via spToken.,146527906,0.0,n/a,0.0,0.0,"liquidation_risk,depeg_risk","ChainSecurity, Cantina",instant (subject to utilization),0x4197ba364ae6698015ae5c1468f54087602715b2,https://defillama.com/yields/pool/03406d3a-fcc4-4fe3-8809-7a95222951b6,btc,2,Bajo,https://app.spark.fi/markets,Tier 1
SolvBTC,Solv Protocol,basis_trade,WBTC,BTC reserve token backed 1:1; deployed into basis-trade and yield strategies via managed vaults.,146138251,0,0,n/a,0,"depeg_risk,centralized_dependency,withdraw_queue","SlowMist, Quantstamp, Salus",redemption request,0x7a56e1c57c7475ccf742a1832b028f0456652f97,https://defillama.com/yields/pool/bcbcda53-f75e-4b99-9b5b-84a6d2cafb3b,btc,3,Medio,https://solv.finance,Tier 2
Bitwise USCC (Compounding Crypto),Bitwise (Superstate USCC),basis_trade,USDC,Tokenized fund running crypto cash-and-carry basis trade on BTC/ETH; KYC-gated qualified-purchaser shares.,144528345,4.42,n/a,n/a,4.18,"centralized_dependency,withdraw_queue",none found,KYC redemption window,0x14d60e7fdc0d71d8611742720e4c50e7a974020c,https://defillama.com/yields/pool/aff74ce8-4fe3-462b-af11-542cc16d24b2,stable,1,Bajo,https://uscc.superstate.com,Tier 2
Aave v3 LBTC (aEthLBTC),Aave v3,lending,LBTC,Supply LBTC (Lombard staked BTC) to Aave v3 Core; receive aToken earning supply interest.,130966075,0,n/a,n/a,0,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Trail of Bits, Certora, ABDK, PeckShield",instant (subject to utilization),0x65906988adee75306021c417a1a3458040239602,https://defillama.com/yields/pool/b7444791-ecab-4bc4-85dc-9eb351064d98,btc,2,Bajo,https://app.aave.com/reserve-overview/?underlyingAsset=0x8236a87084f8b84306f72007f36f2618a5634494&marketName=proto_mainnet_v3,Tier 1
Renzo Restaked ETH (ezETH),Renzo,restaking,ETH,Liquid restaking token; ETH restaked via EigenLayer across AVSs to earn staking + restaking rewards,126691844,2.69,n/a,2.51,1.89,"depeg_risk,centralized_dependency,withdraw_queue","Halborn, Sigma Prime, Code4rena",withdraw queue (EigenLayer unbonding) or DEX swap,0xbf5495efe5db9ce00f80364c8b423567e58d2110,https://defillama.com/yields/pool/e28e32b5-e356-41d9-8dc7-a376ece56619,eth,3,Medio,https://app.renzoprotocol.com,Tier 2
Savings GHO (sGHO),Aave,lending,GHO,"ERC-4626 savings vault: deposit GHO, earn governance-set savings rate paid in GHO.",125563736,4.25,n/a,4.25,4.25,"depeg_risk,centralized_dependency","SigmaPrime, Certora, OpenZeppelin",instant,0xe1753f2e00940cc31213dd92013cf019dfe4ca1d,https://defillama.com/yields/pool/19d024ed-9c70-4323-9a81-fe873ea5f0e0,stable,1,Bajo,https://aave.com/docs/aave-v3/guides/sgho,Tier 1
Spark ETH Savings Vault (spETH),Spark,yield_aggregator,WETH,ERC4626 vault; WETH deployed via Spark Liquidity Layer across curated ETH yield strategies,124329114,1.3,n/a,1.33,1.39,centralized_dependency,"ChainSecurity, Cantina",instant (subject to available liquidity),0xfe6eb3b609a7c8352a241f7f3a21cea4e9209b8f,https://defillama.com/yields/pool/bace601a-530a-432c-9b79-8c6451de25ea,eth,1,Bajo,https://app.spark.fi/savings/mainnet/speth,Tier 1
Liquid ETH Yield Vault (liquidETH),ether.fi,yield_aggregator,"WETH,eETH,weETH","BoringVault deploying ETH into curated DeFi yield positions (Aave, Pendle, Curve/Convex, etc.)",123001419,3.2,n/a,3.22,3.33,"depeg_risk,centralized_dependency","0xMacro, Spearbit",withdraw queue (keeper-processed),0xf0bb20865277abd641a307ece5ee04e79073416c,https://defillama.com/yields/pool/b86d4934-2e75-415a-bdd2-e28143d72491,eth,2,Bajo,https://etherfi.gitbook.io/etherfi/liquid/eth-yield-vault,Tier 1
Aave Horizon USCC (aHorRwaUSCC),Aave Horizon,lending,USCC,Supply Superstate USCC fund token to Aave Horizon RWA market; permissioned/KYC aToken receipt.,121757735,0,n/a,0.0,0,"liquidation_risk,centralized_dependency","SigmaPrime, OpenZeppelin, Certora","instant (subject to utilization), permissioned/KYC",0x08b798c40b9ab931356d9ab4235f548325c4cb80,https://defillama.com/yields/pool/1d5f2f96-3446-4cbc-beba-216677ad7a9d,alt,3,Medio,https://app.aave.com/?marketName=proto_horizon_v3,Tier 1
Steakhouse Ethena USDtb,Morpho (Steakhouse Financial curator),lending,USDtb,Curated MetaMorpho vault lending USDtb across isolated Morpho Blue markets,120288597,1.92,3.4,5.05,5.1,"depeg_risk,liquidation_risk,centralized_dependency","Morpho MetaMorpho: Spearbit, OpenZeppelin, Cantina",instant (subject to utilization),0xbeefc1cdafc5b4a649b54d07afc6bf0f75c6f4e2,https://defillama.com/yields/pool/2bade0af-0dee-410b-88ed-78f17133dad7,stable,2,Bajo,https://app.morpho.org/ethereum/vault/0xBeEFC1CDAfc5b4a649b54D07AFc6bF0f75C6F4E2/steakhouse-ethena-usdtb,Tier 1
Theo Short Duration US Treasury Fund (thBILL),Theo Network,rwa,US Treasury bills,Tokenized institutional short-duration US Treasury bill fund (Wellington-managed) with DeFi composability,118670840,3.49,n/a,n/a,3.59,"depeg_risk,centralized_dependency,lockup",none found,KYC redemption window,0x5fa487bca6158c64046b2813623e20755091da0b,https://defillama.com/yields/pool/e17dab50-85b1-45e8-b4a5-b8ae7898c4a3,stable,3,Medio,https://theo.xyz,Tier 3
Aave v3 tBTC (aEthtBTC),Aave v3,lending,tBTC,Supply tBTC (Threshold wrapped BTC) to Aave v3 Core; receive aToken earning supply interest.,117788815,0.0,n/a,n/a,0.0,"depeg_risk,liquidation_risk","SigmaPrime, OpenZeppelin, Trail of Bits, Certora, ABDK, PeckShield",instant (subject to utilization),0x10ac93971cdb1f5c778144084242374473c350da,https://defillama.com/yields/pool/c4f1e434-3386-4f48-b0ac-dc89782dfa55,btc,2,Bajo,https://app.aave.com/reserve-overview/?underlyingAsset=0x18084fba666a33d37592fa2633fd49a74dd93a88&marketName=proto_mainnet_v3,Tier 1
Fluid Lite ETH Vault (iETHv2),Fluid Lite,leveraged_loop,ETH,Leverages stETH staking yield by looping on Aave/Compound/Spark/Morpho; tokenized as iETHv2,112331183,n/a,n/a,n/a,5.67,"depeg_risk,liquidation_risk,centralized_dependency",MixBytes,"instant (subject to liquidity, 0.05% exit fee)",0xa0d3707c569ff8c87fa923d3823ec5d81c98be78,https://defillama.com/yields/pool/e72916f7-a2d1-47ad-a4b9-2b054337cfd6,eth,4,Medio,https://lite.guides.instadapp.io/getting-started/fluid-lite-eth-vault,Tier 1
Fluid USDC (fUSDC),Fluid,lending,USDC,Supply USDC to Fluid permissionless money market; earn borrower interest via ERC4626 fToken.,111774517,5.91,1.25,n/a,6.13,"liquidation_risk,depeg_risk","StateMind, MixBytes",instant (subject to utilization),0x9fb7b4477576fe5b32be4c1843afb1e55f251b33,https://defillama.com/yields/pool/4438dabc-7f0c-430b-8136-2722711ae663,stable,1,Bajo,https://fluid.io/lending/1,Tier 1
Fluid USDT (fUSDT),Fluid,lending,USDT,Supply USDT to Fluid permissionless money market; earn borrower interest via ERC4626 fToken.,109168705,3.21,1.28,n/a,4.11,"liquidation_risk,depeg_risk","StateMind, MixBytes",instant (subject to utilization),0x5c20b550819128074fd538edf79791733ccedd18,https://defillama.com/yields/pool/4e8cc592-c8d5-4824-8155-128ba521e903,stable,1,Bajo,https://fluid.io/lending/1,Tier 1
Steakhouse USDC,Morpho (Steakhouse Financial curator),lending,USDC,Curated MetaMorpho vault lending USDC across isolated Morpho Blue markets,105004682,3.68,0,3.89,3.73,"depeg_risk,liquidation_risk,centralized_dependency","Morpho MetaMorpho: Spearbit, OpenZeppelin, Cantina",instant (subject to utilization),0xbeef01735c132ada46aa9aa4c54623caa92a64cb,https://defillama.com/yields/pool/b55f43a8-f444-4cd8-a3a4-0a4e786ba566,stable,2,Bajo,https://app.morpho.org/ethereum/vault/0xBEEF01735c132Ada46AA9aA4c54623cAA92A64CB/steakhouse-usdc,Tier 1
Aave Horizon RLUSD (aHorRwaRLUSD),Aave Horizon,lending,RLUSD,Supply RLUSD to Aave Horizon RWA market for institutions to borrow; aToken plus rewards.,104951392,1.57,3.36,4.58,4.64,"depeg_risk,liquidation_risk,centralized_dependency","SigmaPrime, OpenZeppelin, Certora",instant (subject to utilization),0xe3190143eb552456f88464662f0c0c4ac67a77eb,https://defillama.com/yields/pool/98d07333-f5e4-4a48-8061-cfb4b73ccf79,stable,2,Bajo,https://app.aave.com/?marketName=proto_horizon_v3,Tier 1
Origami hOHM,Origami Finance,leveraged_loop,gOHM,Max-levered gOHM position using Olympus non-liquidatable Cooler Loans borrowing USDS; tokenized loop,104677060,0,n/a,0.0,0,"liquidation_risk,centralized_dependency","Yaudit, Hickson",instant (subject to liquidity),0x1db1591540d7a6062be0837ca3c808add28844f6,https://defillama.com/yields/pool/c60820ed-cd92-49dd-98fb-6082708561b6,alt,4,Medio,https://origami.finance,Tier 3
Securitize Tokenized AAA CLO Fund (STAC),Securitize,rwa,AAA-rated CLOs,"Tokenized fund holding AAA-rated collateralized loan obligations; BNY custodian, BNY Investments sub-advised",102183290,4.2,n/a,4.71,6.34,"depeg_risk,centralized_dependency,lockup",none found,KYC redemption window,0x51c2d74017390cbbd30550179a16a1c28f7210fc,https://defillama.com/yields/pool/19494e5c-a34e-448d-9679-7d34df7f8745,stable,3,Medio,https://securitize.io,Tier 1
Circle USYC (Hashnote US Yield Coin),Circle (USYC),rwa,US Treasury bills / reverse repo,Tokenized money-market fund backed by short-term US Treasuries and reverse repo agreements,99119896,3.13,n/a,3.13,3.15,"depeg_risk,centralized_dependency,lockup",none found,KYC redemption window,0x136471a34f6ef19fe571effc1ca711fdb8e49f2b,https://defillama.com/yields/pool/448a64ff-06fd-4e56-b63c-03662ac39010,stable,4,Medio,https://usyc.com,Tier 1
SparkLend spDAI,SparkLend,lending,DAI,Supply DAI to SparkLend money market; earn supply interest via spToken.,97775268,2.34,n/a,n/a,2.35,"liquidation_risk,depeg_risk","ChainSecurity, Cantina",instant (subject to utilization),0x4dedf26112b3ec8ec46e7e31ea5e123490b05b8b,https://defillama.com/yields/pool/e26ce7d9-db75-4aa4-b1db-cc21ae17bdfb,stable,2,Bajo,https://app.spark.fi/markets,Tier 1
Saturn Staked USDat (sUSDat),Saturn,rwa,USDat,Staked USDat earning Strategy STRC preferred-stock dividend yield backed by Bitcoin-linked digital credit,96392828,0,n/a,38.56,22.03,"depeg_risk,centralized_dependency,lockup","Three Sigma, Certora",unstaking / redemption window,0xd166337499e176bbc38a1fbd113ab144e5bd2df7,https://defillama.com/yields/pool/47e72726-3b2b-4fe6-b4a9-a26e1fcd9a50,stable,4,Medio,https://www.usdat.xyz,Tier 3
Steakhouse USDT,Morpho (Steakhouse Financial curator),lending,USDT,Curated MetaMorpho vault lending USDT across isolated Morpho Blue markets,92906679,6.39,0,5.39,3.5,"depeg_risk,liquidation_risk,centralized_dependency","Morpho MetaMorpho: Spearbit, OpenZeppelin, Cantina",instant (subject to utilization),0xbeef047a543e45807105e51a8bbefcc5950fcfba,https://defillama.com/yields/pool/ded5a855-23c1-459d-8390-ba2707fac7c5,stable,3,Medio,https://app.morpho.org/ethereum/vault/0xbEef047a543E45807105E51A8BBEFCc5950fcfBa/steakhouse-usdt,Tier 1
Fluid WETH (fWETH),Fluid,lending,WETH,Supply WETH to Fluid permissionless money market; earn borrower interest via ERC4626 fToken.,87953760,1.87,n/a,1.72,1.67,liquidation_risk,"StateMind, MixBytes",instant (subject to utilization),0x90551c1795392094fe6d29b758eccd233cfaa260,https://defillama.com/yields/pool/cbb9fc26-2b9e-436a-95d0-c75e2c0f5869,eth,2,Bajo,https://fluid.io/lending/1,Tier 1
Gauntlet USDC Prime,Morpho (Gauntlet curator),lending,USDC,Curated MetaMorpho vault lending USDC across isolated Morpho Blue markets,87548680,3.74,0,n/a,3.89,"depeg_risk,liquidation_risk,centralized_dependency","Morpho MetaMorpho: Spearbit, OpenZeppelin, Cantina",instant (subject to utilization),0xdd0f28e19c1780eb6396170735d45153d261490d,https://defillama.com/yields/pool/71b34441-5a46-431b-a9b3-8c081cd0d74c,stable,3,Medio,https://app.morpho.org/ethereum/vault/0xdd0f28e19C1780eb6396170735D45153D261490d/gauntlet-usdc-prime,Tier 1
SparkLend spPYUSD,SparkLend,lending,PYUSD,Supply PYUSD to SparkLend money market; earn supply interest via spToken.,87197695,0.44,n/a,n/a,0.35,"liquidation_risk,depeg_risk","ChainSecurity, Cantina",instant (subject to utilization),0x779224df1c756b4edd899854f32a53e8c2b2ce5d,https://defillama.com/yields/pool/995b269a-8409-4c55-b97e-868f443b432e,stable,2,Bajo,https://app.spark.fi/markets,Tier 1
Umbrella Stake waEthUSDT (stkwaEthUSDT.v1),Aave,other,USDT,"Stakes wrapped aUSDT into Aave Umbrella safety module as slashable backstop, earning staking rewards",84570298,2.73,4.13,n/a,6.84,"depeg_risk,centralized_dependency,lockup,withdraw_queue","Certora, SigmaPrime, OpenZeppelin",~20d cooldown unbonding,0xa484ab92fe32b143aee7019fc1502b1daa522d31,https://defillama.com/yields/pool/a90d554a-b548-4f50-b03e-9dcb724b7777,stable,5,Medio,https://app.aave.com/umbrella/,Tier 1
Aave v3 Prime aEthLidoWstETH,Aave,lending,wstETH,"Supply wstETH to Aave v3 Prime (Lido) lending market, receive yield-bearing aToken",83352477,0.05,n/a,n/a,0.05,"depeg_risk,liquidation_risk","Certora, SigmaPrime, OpenZeppelin",instant (subject to utilization),0xc035a7cf15375ce2706766804551791ad035e0c2,https://defillama.com/yields/pool/d541708e-1283-4feb-bc7a-457fc5f8db2c,eth,3,Medio,https://app.aave.com/?marketName=proto_lido_v3,Tier 1
Main Street USD (msUSD),Mainstreet,basis_trade,USDC,Synthetic dollar redeemable 1:1 for USDC; yield from delta-neutral options box-spread strategies,81725932,12.0,0,12.0,12.0,"depeg_risk,centralized_dependency",none found,redemption window,0x4ba01f22827018b4772cd326c7627fb4956a7c00,https://defillama.com/yields/pool/8a28570f-2316-488a-94a7-67c87e76c1f1,stable,2,Bajo,https://www.mainstreet.finance,Tier 3
sky.money USDT Savings,Morpho (Sky.money curator),lending,USDT,Curated Morpho Vault V2 lending USDT across isolated Morpho Blue markets,79228255,2.67,0.65,4.16,3.42,"depeg_risk,liquidation_risk,centralized_dependency","Morpho Vault V2: Spearbit, OpenZeppelin, Cantina",instant (subject to utilization),0x23f5e9c35820f4bab695ac1f19c203cc3f8e1e11,https://defillama.com/yields/pool/89641d1d-6ee2-431b-b131-a0b49c59e2c5,stable,3,Medio,https://app.morpho.org/ethereum/vault/0x23f5E9c35820f4baB695Ac1F19c203cC3f8e1e11,Tier 1
Staked Falcon USD (sUSDf),Falcon Finance,basis_trade,USDf,ERC-4626 vault staking USDf; yield from delta-neutral / arbitrage on overcollateralized synthetic dollar,76859045,5.62,n/a,n/a,4.86,"depeg_risk,centralized_dependency","Zellic, Pashov, Quantstamp",instant (unstake) / redemption window,0xc8cf6d7991f15525488b2a83df53468d682ba4b0,https://defillama.com/yields/pool/0f67a08c-3f24-4a4b-963e-541f5a5c0364,stable,2,Bajo,https://falcon.finance,Tier 2
Sentora PRIME Main (PYUSD),Morpho (Sentora curator),lending,PYUSD,Curated Morpho Vault V2 lending PYUSD across isolated Morpho Blue markets,76851294,2.85,1.69,n/a,7.68,"depeg_risk,liquidation_risk,centralized_dependency","Morpho Vault V2: Spearbit, OpenZeppelin, Cantina",instant (subject to utilization),0xc21b08c16458202593d4d9b26b9984ee67b38bbd,https://defillama.com/yields/pool/f569e486-da2a-41ef-8bfe-1a4db0d1d268,stable,3,Medio,https://app.morpho.org/ethereum/vault/0xC21b08C16458202593D4D9B26b9984Ee67b38BbD,Tier 1
Staked GHO (stkGHO) Safety Module,Aave,other,GHO,"Stake GHO in Aave Safety Module as slashable backstop, earning GHO rewards (legacy module)",75700971,n/a,3.76,3.76,4.66,"depeg_risk,centralized_dependency,lockup,withdraw_queue","Certora, SigmaPrime, OpenZeppelin",20d cooldown unbonding,0x1a88df1cfe15af22b3c4c783d4e6f7f9e0c1885d,https://defillama.com/yields/pool/ff2a68af-030c-4697-b0a1-b62a738eaef0,stable,5,Medio,https://app.aave.com/staking/,Tier 1
Origin Ether (OETH),Origin Protocol,yield_aggregator,ETH,"Auto-compounding ETH yield aggregator routing across LSTs (stETH, rETH) and DeFi strategies; rebasing",75000831,n/a,n/a,2.13,2.12,"depeg_risk,centralized_dependency","OpenZeppelin, Trail of Bits",instant (subject to liquidity),0x856c4efb76c1d1ae02e20ceb03a2a6a08b0b8dc3,https://defillama.com/yields/pool/423681e3-4787-40ce-ae43-e9f67c5269b3,eth,3,Medio,https://www.originprotocol.com/oeth,Tier 2
Aave v3 aEthrETH,Aave,lending,rETH,"Supply rETH to Aave v3 core lending market, receive yield-bearing aToken",74290524,0.0,n/a,0.0,0.0,"depeg_risk,liquidation_risk","Certora, SigmaPrime, OpenZeppelin",instant (subject to utilization),0xcc9ee9483f662091a1de4795249e24ac0ac2630f,https://defillama.com/yields/pool/f1a22245-a1f1-4389-8ff2-dde4914b272d,eth,3,Medio,https://app.aave.com/reserve-overview/?underlyingAsset=0xae78736cd615f374d3085123a210448e74fc6393&marketName=proto_mainnet_v3,Tier 1
Staked cap USD (stcUSD),Cap,lending,cUSD,Staked cUSD earning auto-compounding yield from operators borrowing against restaker-delegated collateral,73929253,n/a,n/a,5.31,5.21,"depeg_risk,liquidation_risk,centralized_dependency",Certora,instant (subject to liquidity),0x88887be419578051ff9f4eb6c858a951921d8888,https://defillama.com/yields/pool/bf6ca887-e357-49ec-8031-0d1a6141c455,stable,3,Medio,https://www.cap.app,Tier 3
Reservoir Wrapped Savings rUSD (wsrUSD),Reservoir Protocol,yield_aggregator,srUSD,Non-rebasing wrapper of srUSD savings token accruing yield from Reservoir multicollateral stablecoin reserves,73782811,n/a,n/a,n/a,4.72,"depeg_risk,centralized_dependency","Sherlock, Code4rena",instant (subject to liquidity),0xd3fd63209fa2d55b07a0f6db36c2f43900be3094,https://defillama.com/yields/pool/d646f32f-d5af-4e34-a29f-8ebeea6a8520,stable,2,Bajo,https://reservoir.xyz,Tier 2
Aave v3 aEthLINK,Aave,lending,LINK,"Supply LINK to Aave v3 core lending market, receive yield-bearing aToken",72357096,0.03,n/a,n/a,0.04,liquidation_risk,"Certora, SigmaPrime, OpenZeppelin",instant (subject to utilization),0x5e8c8a7243651db1384c0ddfdbe39761e8e7e51a,https://defillama.com/yields/pool/b847133f-f5d5-4692-b74e-d815d51988fc,alt,3,Medio,https://app.aave.com/reserve-overview/?underlyingAsset=0x514910771af9ca656af840dff83e8264ecf986ca&marketName=proto_mainnet_v3,Tier 1
Staked Frax Ether (sfrxETH),Frax (frxETH),restaking,frxETH,"ERC-4626 vault accruing Frax ETH validator staking rewards (staking yield, priority fees, MEV).",68211304,2.97,n/a,n/a,2.88,"depeg_risk,centralized_dependency",Trail of Bits,instant (redeem to frxETH; frxETH->ETH via market/queue),0xac3e018457b222d93114458476f3e3416abbe38f,https://defillama.com/yields/pool/5b3aebb3-891d-47fc-92e2-927ada3d5b82,eth,3,Medio,https://frax.finance,Tier 1
Aave Horizon aHorRwaUSTB,Aave,lending,USTB,"Supply Superstate USTB T-bill token to Aave Horizon RWA lending market, receive aToken",66615995,0,n/a,0.0,0,"depeg_risk,liquidation_risk,centralized_dependency,withdraw_queue","Certora, SigmaPrime, OpenZeppelin",instant (subject to utilization); USTB redemption KYC-gated,0x4e58a2e433a739726134c83d2f07b2562e8dfdb3,https://defillama.com/yields/pool/0f23649e-44fb-45be-b8b6-8ff28a0c0917,stable,4,Medio,https://horizon.aave.com/,Tier 1
Lombard BTC Vault (LBTCv),Veda (Lombard),yield_aggregator,"LBTC,WBTC","BoringVault deploying BTC across DeFi (Uniswap, Pendle, Morpho, Gearbox) for curated yield.",66377400,0,n/a,0.0,0.31,"depeg_risk,centralized_dependency,withdraw_queue","Spearbit, Cantina",withdraw queue (async settlement),0x5401b8620e5fb570064ca9114fd1e135fd77d57c,https://defillama.com/yields/pool/17e0b32c-db36-4ecd-9cfc-25943ebb756b,btc,4,Medio,https://veda.tech,Tier 3
Treehouse ETH (tETH),Treehouse Protocol,yield_aggregator,wstETH,LST earning excess ETH yield via leveraged on-chain interest-rate arbitrage on staked ETH.,65879161,2.66,n/a,2.56,2.99,"depeg_risk,centralized_dependency,liquidation_risk","Sigma Prime, Trail of Bits",withdraw queue (unwind),0xd11c452fc99cf405034ee446803b6f6c1f6d5ed8,https://defillama.com/yields/pool/5762f4a8-bb48-45d6-90ed-2d93d1777169,eth,4,Medio,https://www.treehouse.finance,Tier 2
Steakhouse EURCV,Morpho,lending,EURCV,MetaMorpho curated vault lending EURCV across Morpho Blue markets (Steakhouse curator),65584405,4,0,n/a,3.33,"depeg_risk,liquidation_risk,centralized_dependency","Spearbit, OpenZeppelin, Cantina",instant (subject to utilization),0x75741a12b36d181f44f389e0c6b1e0210311e3ff,https://defillama.com/yields/pool/d3b28212-a46b-4db8-8bb7-2c946b3cbe76,stable,3,Medio,https://app.morpho.org/ethereum/vault/0x75741A12B36D181f44F389E0c6B1E0210311e3Ff,Tier 1
Staked FRAX (sFRAX),Frax Finance,yield_aggregator,FRAX,"ERC4626 savings vault; distributes Frax protocol/RWA yield to FRAX stakers, IORB-tracking",65082545,1.15,n/a,1.24,1.06,"depeg_risk,centralized_dependency","Trail of Bits, code4rena",instant,0xa663b02cf0a4b149d2ad41910cb81e23e1c41c32,https://defillama.com/yields/pool/55de30c3-bf9f-4d4e-9e0b-536a8ef5ab35,stable,2,Bajo,https://app.frax.finance/sfrax/stake,Tier 2
Strata Senior USDe (srUSDe),Strata Markets,basis_trade,sUSDe,Senior risk tranche over Ethena sUSDe; lower-vol carry yield with priority cashflows.,63676107,3.02,n/a,2.97,3.31,"depeg_risk,centralized_dependency","Cyfrin, Quantstamp, Guardian",epoch settlement,0x3d7d6fdf07ee548b939a80edbc9b2256d0cdc003,https://defillama.com/yields/pool/843be062-d836-43ef-9670-c78d6ecb60bf,stable,2,Bajo,https://strata.markets,Tier 3
