chain,market_name,category,underlying_asset_class,maturity,days_to_maturity,tvl_usd,pt_implied_apy,lp_apy,pendle_reward_apy,lp_max_boosted_apy,fee_rate,risk_flags,risk_score,risk_tier,pendle_categories,is_prime,market_address,pt_address,sy_address,underlying_token,source_url,protocol_tier
Ethereum,USDat,fixed_yield,stable,2026-08-27,83,12459345,8.83,5.35,1.28,7.28,0.18,"centralized_dependency,depeg_risk,il_risk",4,Medio,stables|points|rwa|strc,False,0x9afe7a057a09cf5da748d952078c9c99938b4329,0x1d69402390657308c91179aa184bf992908c1e08,0x7a7de491e1be5287874904e2b7c8488249a4d0a9,0x23238f20b894f29041f48d88ee91131c395aaa71,https://app.pendle.finance/trade/markets/0x9afe7a057a09cf5da748d952078c9c99938b4329/swap?view=pt&chain=ethereum,Tier 1
Ethereum,SIERRA,fixed_yield,stable,2026-07-02,27,12023245,9.98,7.78,0.18,10.72,0.2,"centralized_dependency,depeg_risk,il_risk",4,Medio,stables|points|rwa,False,0xa556b5327372ab8aaefda2b756eed0608afd6ca5,0x1a69154f6f6247e4457332860fb173251a36e03f,0x399e426e6812943ac22976333698e16eaa80a209,0x6bf7788eaa948d9ffba7e9bb386e2d3c9810e0fc,https://app.pendle.finance/trade/markets/0xa556b5327372ab8aaefda2b756eed0608afd6ca5/swap?view=pt&chain=ethereum,Tier 1
Ethereum,srUSDe,fixed_yield,stable,2026-06-25,20,11029267,4.77,3.78,0.32,4.25,0.1,"centralized_dependency,depeg_risk,il_risk",4,Medio,stables|points|ethena|strata,True,0xfc82267a9e065aaf407f64dadd49bfbdc9511fb1,0x619d75e3b790ebc21c289f2805bb7177a7d732e2,0xc9bfebc79a722c05dc34bd2a227ef2db19fd1b8e,0x3d7d6fdf07ee548b939a80edbc9b2256d0cdc003,https://app.pendle.finance/trade/markets/0xfc82267a9e065aaf407f64dadd49bfbdc9511fb1/swap?view=pt&chain=ethereum,Tier 1
Ethereum,apyUSD,fixed_yield,stable,2026-06-18,13,9901395,24.19,25.06,1.62,27.48,0.49,"centralized_dependency,depeg_risk,il_risk",5,Medio,points|rwa|strc,False,0x3c53fae231ad3c0408a8b6d33138bbff1caec330,0x3365554a61ceff74a76528f9e86c1e87946d16a5,0x04f8dca7bccd8997ac57ca6fef7c705e17d6bcb6,0x38eeb52f0771140d10c4e9a9a72349a329fe8a6a,https://app.pendle.finance/trade/markets/0x3c53fae231ad3c0408a8b6d33138bbff1caec330/swap?view=pt&chain=ethereum,Tier 1
Ethereum,sUSDe,fixed_yield,stable,2026-08-13,69,9466665,4.41,4.22,0.25,4.6,0.08,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|ethena|points|rwa,True,0x177768caf9d0e036725a51d3f60d7e20f2d4d194,0x5a19fa369f2895dcd8d2cee62e4ceae58ef92bbb,0xbf98480425a29197e5d99d003017f63a1e595d02,0x9d39a5de30e57443bff2a8307a4256c8797a3497,https://app.pendle.finance/trade/markets/0x177768caf9d0e036725a51d3f60d7e20f2d4d194/swap?view=pt&chain=ethereum,Tier 1
Ethereum,msY,fixed_yield,stable,2026-07-30,55,8925873,12.35,12.41,0.24,12.76,0.24,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|points,False,0x2251b22b82b916142b133d91cd7ac4b5b3c36954,0x2500e6205e61102842b8794b291eb27ab32efe27,0x659c663cdcc068b56e4a5afe262cb92baa0f3e19,0x890a5122aa1da30fec4286de7904ff808f0bd74a,https://app.pendle.finance/trade/markets/0x2251b22b82b916142b133d91cd7ac4b5b3c36954/swap?view=pt&chain=ethereum,Tier 1
Ethereum,sUSDS,fixed_yield,stable,2026-11-26,174,8261649,5.33,11.33,0.5,21.55,0.11,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|rwa|_featured,False,0x9c560ebaf78e596cbcc27411d633a74d628dd7dc,0xdc169abe56461a2e0c034da431ac2a3ebf596094,0xbe3d4ec488a0a042bb86f9176c24f8cd54018ba7,0xa3931d71877c0e7a3148cb7eb4463524fec27fbd,https://app.pendle.finance/trade/markets/0x9c560ebaf78e596cbcc27411d633a74d628dd7dc/swap?view=pt&chain=ethereum,Tier 1
Ethereum,apxUSD,fixed_yield,stable,2026-06-18,13,8112027,18.18,15.96,1.95,18.88,0.35,"centralized_dependency,depeg_risk,il_risk",5,Medio,points|rwa|strc,False,0x50dce085af29caba28f7308bea57c4043757b491,0x92a6a01b07984de46c24e8eba248449beb8b1dcb,0x4f116ee5bcd227d1a1c4f57918d694a4abe7b3fc,0x98a878b1cd98131b271883b390f68d2c90674665,https://app.pendle.finance/trade/markets/0x50dce085af29caba28f7308bea57c4043757b491/swap?view=pt&chain=ethereum,Tier 1
Ethereum,USDG,fixed_yield,stable,2026-09-24,111,5549490,4.94,5.01,1.14,9.91,0.09,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|rwa|_featured,False,0xf80b67a32df07960c731794769309e3d30e9717f,0xc1906aecf868749a2dee203f59b904c0cf212140,0xc1799cab1f201946f7cfafbaf1bcc089b2f08927,0xe343167631d89b6ffc58b88d6b7fb0228795491d,https://app.pendle.finance/trade/markets/0xf80b67a32df07960c731794769309e3d30e9717f/swap?view=pt&chain=ethereum,Tier 1
Ethereum,sNUSD,fixed_yield,stable,2026-09-24,111,5237133,5.3,7.04,1.5,9.29,0.11,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|points,False,0xb1edcea8f9be0b97a9c4065a16cfa3cd362c3bde,0x2cd3b102fe872cb92decb8d3fad827c6b6e2364d,0x10c5e7711eaddc1b6b64e40ef1976fc462666409,0x08efcc2f3e61185d0ea7f8830b3fec9bfa2ee313,https://app.pendle.finance/trade/markets/0xb1edcea8f9be0b97a9c4065a16cfa3cd362c3bde/swap?view=pt&chain=ethereum,Tier 1
Ethereum,reUSDe,fixed_yield,stable,2026-06-25,20,5097633,16.59,14.99,0.5,15.74,0.31,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|rwa,False,0x6cb9a013604a567a5834fadd411165b1ca616783,0xdc9a5a2e3ce7ac881fc3b28c629c05d1617d1c56,0x47dfd0c8eee949748c1d5cb6b695a4aba5fe7379,0xddc0f880ff6e4e22e4b74632fbb43ce4df6ccc5a,https://app.pendle.finance/trade/markets/0x6cb9a013604a567a5834fadd411165b1ca616783/swap?view=pt&chain=ethereum,Tier 1
Ethereum,sUSDD,fixed_yield,stable,2026-08-27,83,5059340,7.72,8.36,1.79,11.04,0.16,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|_featured,False,0x45252f9a932910abc436644f0b29f5531f0eb4cc,0xd341a146a4fd20ea89898e4d86ae1829bf3a1c23,0x149bd983030e14e8b2f1ebdc8bbd9c419411fbc9,0xc5d6a7b61d18afa11435a889557b068bb9f29930,https://app.pendle.finance/trade/markets/0x45252f9a932910abc436644f0b29f5531f0eb4cc/swap?view=pt&chain=ethereum,Tier 1
Ethereum,sUSDat,fixed_yield,stable,2026-08-27,83,5002497,13.51,6.62,0.99,8.11,0.28,"centralized_dependency,depeg_risk,il_risk",5,Medio,points|rwa|strc,False,0x91bc86899c8391b6caaf26535b9cd82efe49a189,0xc689f76f90fe1762fac55983ff25ae71033a84f7,0x8917f8c7feb840b5837edc7e128123baa2f289f9,0xd166337499e176bbc38a1fbd113ab144e5bd2df7,https://app.pendle.finance/trade/markets/0x91bc86899c8391b6caaf26535b9cd82efe49a189/swap?view=pt&chain=ethereum,Tier 1
Ethereum,srUSDat,fixed_yield,stable,2026-08-27,83,4446739,11.71,13.13,1.77,15.79,0.22,"centralized_dependency,depeg_risk,il_risk",5,Medio,strc|points|rwa|strata,False,0x4237a8acbd0b5a2dec4aa83b1fd83f20162d02b8,0x2d433b943fb8c015ae409444b7f960ed288082b4,0x9d0fc59f88acb85520a8cfb74c7fe141d8563185,0xfaa9a0e1db9e22ae3a20b2b58a68dc24d053d066,https://app.pendle.finance/trade/markets/0x4237a8acbd0b5a2dec4aa83b1fd83f20162d02b8/swap?view=pt&chain=ethereum,Tier 1
Ethereum,reUSD,fixed_yield,stable,2026-06-25,20,4274140,11.13,9.95,1.84,12.7,0.23,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|rwa,False,0xf5929a1c332ceab7918a4593a43db2b9ac20095f,0x3eaa0f0f0a5d3d595ae4e4b0d27f439d01c3e7b2,0x9487bd5a3b16ecb5f3184453e3ee75b800141648,0x5086bf358635b81d8c47c66d1c8b9e567db70c72,https://app.pendle.finance/trade/markets/0xf5929a1c332ceab7918a4593a43db2b9ac20095f/swap?view=pt&chain=ethereum,Tier 1
Ethereum,stcUSD,fixed_yield,stable,2026-07-23,48,3339076,6.01,5.46,0.15,5.68,0.12,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|points,False,0xac24a6f0068d9701eaea76ab0b418021017f8d59,0x2d3c279e5fcdf5b793c0a75ed90738d7369b0b83,0x27010ce8d14b4e73ef48af1cf9a5a91e8356d10f,0x88887be419578051ff9f4eb6c858a951921d8888,https://app.pendle.finance/trade/markets/0xac24a6f0068d9701eaea76ab0b418021017f8d59/swap?view=pt&chain=ethereum,Tier 1
Ethereum,USD (Midas mAPOLLO),fixed_yield,stable,2026-09-24,111,2833328,7.15,6.89,0,6.89,0.14,"centralized_dependency,depeg_risk,il_risk",5,Medio,points|stables,False,0xa268168e73791e2a0ab48ded41ecf6dc923cd17f,0x3069a30121dbbf37c88003b41204d6afaac7acbd,0xe1e22d55e23900f30599d8bee74a0801f09b4e58,0x7cf9dec92ca9fd46f8d86e7798b72624bc116c05,https://app.pendle.finance/trade/markets/0xa268168e73791e2a0ab48ded41ecf6dc923cd17f/swap?view=pt&chain=ethereum,Tier 1
Ethereum,savUSD,fixed_yield,stable,2026-08-06,62,2787879,6.81,8.06,0.16,8.3,0.13,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|points,False,0x05b5a8bd55d17a7cc8133d8ccd285f83be01a062,0x7ffba084cceaacd87ccd3af4e0cd61d956ed6182,0x0caefeb807152fbd945bf947893e6feba5aed61b,0xb8d89678e75a973e74698c976716308abb8a46a4,https://app.pendle.finance/trade/markets/0x05b5a8bd55d17a7cc8133d8ccd285f83be01a062/swap?view=pt&chain=ethereum,Tier 1
Ethereum,wstETH,fixed_yield,eth,2026-06-25,20,2754160,2.78,2.61,0,2.61,0.06,"centralized_dependency,depeg_risk,il_risk",6,Alto,eth,True,0xcfd848b9f6fef552204014ac67901223ad6bf679,0x9ce6478ef45bb1baac69efd8a3ea0ed110a43042,0xcbc72d92b2dc8187414f6734718563898740c0bc,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,https://app.pendle.finance/trade/markets/0xcfd848b9f6fef552204014ac67901223ad6bf679/swap?view=pt&chain=ethereum,Tier 1
Ethereum,sENA,fixed_yield,alt,2026-09-24,111,2716085,13.3,5.18,0.45,5.86,0.25,"centralized_dependency,il_risk",6,Alto,points|others|ethena,False,0xf1e067f8334a5a21da018a15e29cb78252190a1b,0xb9b3a5823dfdb39389f50742ee7bb81cf0be56cb,0xa36ecca8b7624d224f01cd6649c8afad3da12c3d,0x8be3460a480c80728a8c4d7a5d5303c85ba7b3b9,https://app.pendle.finance/trade/markets/0xf1e067f8334a5a21da018a15e29cb78252190a1b/swap?view=pt&chain=ethereum,Tier 1
Ethereum,wstETH,fixed_yield,eth,2027-12-30,573,2688713,2.57,2.49,0,2.49,0.05,"centralized_dependency,depeg_risk,il_risk",6,Alto,eth,True,0x34280882267ffa6383b363e278b027be083bbe3b,0xb253eff1104802b97ac7e3ac9fdd73aece295a2c,0xcbc72d92b2dc8187414f6734718563898740c0bc,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,https://app.pendle.finance/trade/markets/0x34280882267ffa6383b363e278b027be083bbe3b/swap?view=pt&chain=ethereum,Tier 1
Ethereum,apyUSD,fixed_yield,stable,2026-11-05,153,2672837,16.54,21.11,5.99,30.09,0.33,"centralized_dependency,depeg_risk,il_risk",5,Medio,points|rwa|strc,False,0xc5f938a8ef5f3bf9e72f5aa094baf5e03f4727d3,0xb5be35d8ff83d431899b95851cb17a2b4bcef150,0x04f8dca7bccd8997ac57ca6fef7c705e17d6bcb6,0x38eeb52f0771140d10c4e9a9a72349a329fe8a6a,https://app.pendle.finance/trade/markets/0xc5f938a8ef5f3bf9e72f5aa094baf5e03f4727d3/swap?view=pt&chain=ethereum,Tier 1
Ethereum,mHyperBTC,fixed_yield,btc,2026-09-24,111,2204703,2.81,0.64,0,0.64,0.05,"centralized_dependency,depeg_risk,il_risk",6,Alto,btc|points,False,0xeff6a9ff1f17adbe88c1a923fc197b00ef5f4ce2,0xc8ff5a1d899c2a453c6f10f4ea87978726cf9f63,0x95fc228a926828b4d95f52c1d52b345e743153f0,0xc8495eaff71d3a563b906295fcf2f685b1783085,https://app.pendle.finance/trade/markets/0xeff6a9ff1f17adbe88c1a923fc197b00ef5f4ce2/swap?view=pt&chain=ethereum,Tier 1
Ethereum,jrUSDe,fixed_yield,stable,2026-06-25,20,2178646,8.07,7.89,0,7.89,0.15,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|points|ethena|strata,False,0x36159b0539b019f1896800b40e52150471799668,0xd46fdff6d4d4e19c3e6d31ce2bf2239ba07bf71c,0x4f6673346ab4813f1665327ab39087008cc7d76f,0xc58d044404d8b14e953c115e67823784dea53d8f,https://app.pendle.finance/trade/markets/0x36159b0539b019f1896800b40e52150471799668/swap?view=pt&chain=ethereum,Tier 1
Ethereum,sYUSD,fixed_yield,stable,2026-09-24,111,2112567,4.72,5.09,0,5.09,0.09,"centralized_dependency,depeg_risk,il_risk",5,Medio,points|stables,False,0x440a67f76f569b67a993aeaff58d198705ec5fe4,0x42959e174fe28029de5ce250b58699229a3362b0,0x797f9d67a878250e0aa572c41a8a4e862ad09d5c,0xfe0ccc9942e98c963fe6b4e5194eb6e3baa4cb64,https://app.pendle.finance/trade/markets/0x440a67f76f569b67a993aeaff58d198705ec5fe4/swap?view=pt&chain=ethereum,Tier 1
Ethereum,superUSDC,fixed_yield,stable,2026-11-26,174,1861480,8.18,12.63,0.19,24.89,0.17,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|points,False,0x61703e1ea2887fffd4b5f777bafd6abd7122bcf9,0xd4e6ea03d2e8bfeb5fa5c03ae9352514b1829218,0x4d654f255d54637112844bd8802b716170904fee,0xf6ebea08a0dfd44825f67fa9963911c81be2a947,https://app.pendle.finance/trade/markets/0x61703e1ea2887fffd4b5f777bafd6abd7122bcf9/swap?view=pt&chain=ethereum,Tier 1
Ethereum,sUSN,fixed_yield,stable,2026-07-30,55,1751752,10.0,9.23,0,9.23,0.21,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|points,False,0x272de61d685e3be818a7ec9445746acbcb78f023,0x59c2c836ff229e52a0bcc164f5d4bd3f3d312be4,0xa0a2c8c94bf30227f84af6e054025945a51d0eff,0xe24a3dc889621612422a64e6388927901608b91d,https://app.pendle.finance/trade/markets/0x272de61d685e3be818a7ec9445746acbcb78f023/swap?view=pt&chain=ethereum,Tier 1
Ethereum,cUSD,fixed_yield,stable,2026-07-23,48,1709399,6.08,1.34,0.3,1.79,0.12,"centralized_dependency,depeg_risk,il_risk",5,Medio,points|stables,False,0x9eaaeda23177b7168c55a3a0f937f67919733449,0x928fb6ed39100a92b2480f5cbb93453f98d9f4ce,0x3eaf6c8425b40c554099beed4dcb9f4601942fcb,0xcccc62962d17b8914c62d74ffb843d73b2a3cccc,https://app.pendle.finance/trade/markets/0x9eaaeda23177b7168c55a3a0f937f67919733449/swap?view=pt&chain=ethereum,Tier 1
Ethereum,rswETH,fixed_yield,eth,2026-06-25,20,1702470,3.5,3.04,0,3.04,0.07,"centralized_dependency,depeg_risk,il_risk",6,Alto,points|eth,False,0xc5ecdafbede3c8436c9c09e60bffac3731a9b28e,0xce789b855ff263d86cee15d8bf5eba9ba6e2d066,0x7786729eee8b9d30fe7d91fdff23a0f1d0c615d9,0xfae103dc9cf190ed75350761e95403b7b8afa6c0,https://app.pendle.finance/trade/markets/0xc5ecdafbede3c8436c9c09e60bffac3731a9b28e/swap?view=pt&chain=ethereum,Tier 1
Ethereum,sUSDf,fixed_yield,stable,2026-06-18,13,1522070,6.38,5.34,0,5.34,0.13,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|points,False,0x42826337a249b3162d133f65d8f79b4a22e82f45,0x529702daa38f67e4a329634cc4bb7226b5938046,0xa780d7f775b4eff6846a8c28981f086bc6a7d637,0xc8cf6d7991f15525488b2a83df53468d682ba4b0,https://app.pendle.finance/trade/markets/0x42826337a249b3162d133f65d8f79b4a22e82f45/swap?view=pt&chain=ethereum,Tier 1
Ethereum,tmvUSDC,fixed_yield,stable,2026-10-29,146,1480803,6.86,7.12,1.86,9.91,0.14,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables,False,0x9dbb0d00f965e22f51434c0ea2c2e09dfbcffb62,0xdc5c65c0ca7948fb3013f5ab9435bba02a2ac4e8,0xb4433d1bf3084e4e8ee1cf24ae2c580e6c45ebee,0x697c54a84d83f37380d034e2bfc6f7ce8d89f4ee,https://app.pendle.finance/trade/markets/0x9dbb0d00f965e22f51434c0ea2c2e09dfbcffb62/swap?view=pt&chain=ethereum,Tier 1
Ethereum,apxUSD,fixed_yield,stable,2026-11-05,153,1439340,17.75,107.84,11.12,124.51,0.33,"centralized_dependency,depeg_risk,il_risk",5,Medio,points|rwa|strc,False,0xaf0349fb9b1ba07d34381870c59b560b31412660,0xaf687b5ecb525ccea96115088999b4ed80c388b6,0x4f116ee5bcd227d1a1c4f57918d694a4abe7b3fc,0x98a878b1cd98131b271883b390f68d2c90674665,https://app.pendle.finance/trade/markets/0xaf0349fb9b1ba07d34381870c59b560b31412660/swap?view=pt&chain=ethereum,Tier 1
Ethereum,srNUSD,fixed_yield,stable,2026-09-17,104,1367125,5.93,5.45,0.29,5.88,0.12,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|points|strata,False,0xdb3b421176215ad746ecba51a10e1c522e02c261,0x3f71ccce5641951cdaf573be760464a8fd74fe56,0xdb8f1d15880b97dc38edfa46d8a5a7e5b506c45f,0x65a44528e8868166401ea08b549e19552af589db,https://app.pendle.finance/trade/markets/0xdb3b421176215ad746ecba51a10e1c522e02c261/swap?view=pt&chain=ethereum,Tier 1
Ethereum,msUSD,fixed_yield,stable,2026-07-30,55,1316210,8.07,1.99,0,1.99,0.16,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables|points,False,0x284199ac6b6211ca4419f06b29ccf45db5ca951b,0x2168a9d89aec227f3b4b064ce9d92c5a07f6f900,0xf3d25ad78fc5b99cc489c648e190aeebac1bd951,0x4ba01f22827018b4772cd326c7627fb4956a7c00,https://app.pendle.finance/trade/markets/0x284199ac6b6211ca4419f06b29ccf45db5ca951b/swap?view=pt&chain=ethereum,Tier 1
Ethereum,nOPAL,fixed_yield,stable,2026-09-17,104,1204267,10.1,31.75,3.04,63.89,0.2,"centralized_dependency,depeg_risk,il_risk",5,Medio,rwa|stables,False,0x4af2e5411636b5bc460ebf44b83fd1f4e8c7b783,0x5e1ff5c857f1d2251600507f2031d2aa2a5fc468,0x57badd19a4756d0190bfcd8f444ae6ebcdb38e86,0x119dd7daff816f29d7ee47596ae5e4bdc4299165,https://app.pendle.finance/trade/markets/0x4af2e5411636b5bc460ebf44b83fd1f4e8c7b783/swap?view=pt&chain=ethereum,Tier 1
Ethereum,jrRoyAPYUSD,fixed_yield,stable,2026-11-05,153,1149776,19.16,14.96,1.58,17.33,0.38,"centralized_dependency,depeg_risk,il_risk",5,Medio,points|rwa|strc,False,0x5949c3bfdf9babd759170a3a75c4fe52b03e6797,0xd70be760f0bc3009db4563fe0b9eee54883adb50,0x464a2b93b6633707470bcd2c81d34519f38e1e9c,0xab2ab53e1e2e2c5d7202918ec8c873712bcc4a2d,https://app.pendle.finance/trade/markets/0x5949c3bfdf9babd759170a3a75c4fe52b03e6797/swap?view=pt&chain=ethereum,Tier 1
Ethereum,eEARN,fixed_yield,stable,2026-07-02,27,1055181,7.15,7.02,0,7.02,0.14,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables,False,0x145a00b3e996aa1692d22f9e49499394e6cea981,0x2a55c4ab3c6a3026651ae257f3c1c4238048ccda,0x0280c2534ff412086c64ad46df873ef86605bb6f,0x9be9294722f8aad37b11a9792be2c782182cafa2,https://app.pendle.finance/trade/markets/0x145a00b3e996aa1692d22f9e49499394e6cea981/swap?view=pt&chain=ethereum,Tier 1
Ethereum,weETH,fixed_yield,eth,2026-06-25,20,1048264,3.04,2.7,0,2.86,0.06,"centralized_dependency,depeg_risk,il_risk",6,Alto,points|eth,False,0x95a9504f246cd65bf91c2c550a53f7f415227ed1,0x8e8b8d3b2dca78cb04b9914b7ec1ad72f671f96d,0xac0047886a985071476a1186be89222659970d65,0xcd5fe23c85820f7b72d0926fc9b05b43e359b7ee,https://app.pendle.finance/trade/markets/0x95a9504f246cd65bf91c2c550a53f7f415227ed1/swap?view=pt&chain=ethereum,Tier 1
Ethereum,apyUSD,fixed_yield,stable,2026-08-27,83,1027094,17.6,38.39,15.57,61.74,0.35,"centralized_dependency,depeg_risk,il_risk",5,Medio,points|rwa|strc,False,0x30bb9ee8dc6aab322dc3a0d36063cbf06a9e5952,0xee5c7cda577484b70b65c21235ecbd302bb290e2,0x04f8dca7bccd8997ac57ca6fef7c705e17d6bcb6,0x38eeb52f0771140d10c4e9a9a72349a329fe8a6a,https://app.pendle.finance/trade/markets/0x30bb9ee8dc6aab322dc3a0d36063cbf06a9e5952/swap?view=pt&chain=ethereum,Tier 1
Ethereum,WOUSD,fixed_yield,stable,2026-12-17,195,1011129,4.02,42.75,0.16,98.7,0.08,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables,False,0x30ee7618e0ef0682f0f354d6f84be87de6b8878c,0xeccde3a92f8ad4884a2613d9ef1556103c26728f,0xe22deabf5b174437092ae9ac79761b03ef178ca8,0xd2af830e8cbdfed6cc11bab697bb25496ed6fa62,https://app.pendle.finance/trade/markets/0x30ee7618e0ef0682f0f354d6f84be87de6b8878c/swap?view=pt&chain=ethereum,Tier 1
Ethereum,fxSAVE,fixed_yield,stable,2026-10-29,146,1002080,8.01,10.75,0.45,14.02,0.15,"centralized_dependency,depeg_risk,il_risk",5,Medio,stables,False,0x8308e53f584a7e5f0c581059d9ba971c0bec9454,0x079c3469143804af5d0d645a878c371dbe8d038e,0x13945b761b2ed3219a497a46d15a8923f418d2ab,0x7743e50f534a7f9f1791dde7dcd89f7783eefc39,https://app.pendle.finance/trade/markets/0x8308e53f584a7e5f0c581059d9ba971c0bec9454/swap?view=pt&chain=ethereum,Tier 1
Ethereum,USD3,fixed_yield,stable,2026-06-25,20,993982,5.94,1.74,0,1.74,0.12,"centralized_dependency,depeg_risk,il_risk",6,Alto,stables|points|rwa,False,0x11aa6742bc3afd713e7fd3f0d3b1f7507cf2ad12,0xdf7962c3aebea91067fb4179f8bdd8df40b4e9ed,0xea3bc608f32847b97965c5e1648bdfcd4c2c40d0,0x056b269eb1f75477a8666ae8c7fe01b64dd55ecc,https://app.pendle.finance/trade/markets/0x11aa6742bc3afd713e7fd3f0d3b1f7507cf2ad12/swap?view=pt&chain=ethereum,Tier 1
Ethereum,weETHs,fixed_yield,eth,2026-06-25,20,977851,4.77,4.02,0,4.02,0.1,"centralized_dependency,depeg_risk,il_risk",7,Alto,eth|points,False,0xc7d566f5cd575fdad0e982bd238d9abcf29807ea,0x6cc3237ae1bbeba960c35b47b0424d34b6404037,0x012badcc6e824c2ea32bd5367ebda3be3402c9c5,0x917cee801a67f933f2e6b33fc0cd1ed2d5909d88,https://app.pendle.finance/trade/markets/0xc7d566f5cd575fdad0e982bd238d9abcf29807ea/swap?view=pt&chain=ethereum,Tier 1
Ethereum,stUSDS,fixed_yield,stable,2026-06-25,20,906524,5.5,6.0,0,6.0,0.1,"centralized_dependency,depeg_risk,il_risk",6,Alto,stables,False,0xd8fdddf9ea5a3b703f6ffdf8e4329d0d4083f1f5,0xd7a8fc30e2e5f196c076f00eb2edc835528be564,0x57e16654b9e42ef4df30006e4c60f5a475a2f0e9,0x99cd4ec3f88a45940936f469e4bb72a2a701eeb9,https://app.pendle.finance/trade/markets/0xd8fdddf9ea5a3b703f6ffdf8e4329d0d4083f1f5/swap?view=pt&chain=ethereum,Tier 1
Ethereum,ynRWAx,fixed_yield,stable,2026-10-15,132,831310,10.39,12.03,0,15.05,0.2,"centralized_dependency,depeg_risk,il_risk",6,Alto,stables|rwa,False,0xfce3f966a131c46a51b896ceea3917bc4c302577,0x77db49ac43107f0cef6f65837aa55ee8ae4cd9fa,0x5271be3516a36316465ee50c4288ce91e58f7759,0x01ba69727e2860b37bc1a2bd56999c1afb4c15d8,https://app.pendle.finance/trade/markets/0xfce3f966a131c46a51b896ceea3917bc4c302577/swap?view=pt&chain=ethereum,Tier 1
Ethereum,USD (Midas mHYPER),fixed_yield,stable,2026-09-24,111,829188,9.16,6.67,0,6.67,0.18,"centralized_dependency,depeg_risk,il_risk",6,Alto,stables|points,False,0xdf014ab15b68e3b8db53e8d307d01b81cce98739,0xfae86383d512722a50192d9e6b414dc3f067519c,0x457904b54f47dd7a91253f225237a5b02ca059d6,0x9b5528528656dbc094765e2abb79f293c21191b9,https://app.pendle.finance/trade/markets/0xdf014ab15b68e3b8db53e8d307d01b81cce98739/swap?view=pt&chain=ethereum,Tier 1
Ethereum,jrUSDat,fixed_yield,stable,2026-08-27,83,812301,18.59,15.79,4.12,21.96,0.37,"centralized_dependency,depeg_risk,il_risk",6,Alto,rwa|points|strc|strata,False,0x8cef2919a8cb98ad74e1e12392bc9f9fc4e3270a,0x906ac88054b40eaf5eabac0a92f83022f52c0032,0xa26938b7eb9f097e23e73af30c8f2ad6d06e3c6a,0x011e55d2b28306458e37ca7e997c879bb25a455d,https://app.pendle.finance/trade/markets/0x8cef2919a8cb98ad74e1e12392bc9f9fc4e3270a/swap?view=pt&chain=ethereum,Tier 1
